video,frame,time_seconds,tracker,track_id,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height
identical_balls_trick_000_018.mp4,114,1.901900,bytetrack,148,32,sports ball,0.593964,723.280,193.099,769.506,239.476,746.000,216.000,46.226,46.377
identical_balls_trick_000_018.mp4,115,1.918583,bytetrack,148,32,sports ball,0.219900,724.588,189.829,771.082,236.487,748.000,213.000,46.494,46.658
identical_balls_trick_000_018.mp4,116,1.935267,bytetrack,148,32,sports ball,0.248900,725.991,188.663,772.768,235.614,749.000,212.000,46.778,46.951
identical_balls_trick_000_018.mp4,117,1.951950,bytetrack,148,32,sports ball,0.426753,728.068,190.028,774.357,236.477,751.000,213.000,46.289,46.450
identical_balls_trick_000_018.mp4,117,1.951950,bytetrack,154,32,sports ball,0.457047,848.751,460.109,897.698,503.113,873.000,482.000,48.947,43.004
identical_balls_trick_000_018.mp4,118,1.968633,bytetrack,148,32,sports ball,0.592478,729.418,192.503,775.886,239.142,753.000,216.000,46.468,46.639
identical_balls_trick_000_018.mp4,118,1.968633,bytetrack,154,32,sports ball,0.562964,848.156,460.169,897.508,503.586,873.000,482.000,49.352,43.417
identical_balls_trick_000_018.mp4,119,1.985317,bytetrack,148,32,sports ball,0.300216,730.853,197.491,777.387,244.148,754.000,221.000,46.534,46.657
identical_balls_trick_000_018.mp4,119,1.985317,bytetrack,154,32,sports ball,0.726858,844.582,457.378,893.212,500.248,869.000,479.000,48.629,42.870
identical_balls_trick_000_018.mp4,120,2.002000,bytetrack,148,32,sports ball,0.508039,732.579,204.680,778.941,251.116,756.000,228.000,46.361,46.437
identical_balls_trick_000_018.mp4,120,2.002000,bytetrack,154,32,sports ball,0.581109,837.226,451.217,886.034,494.359,862.000,473.000,48.809,43.143
identical_balls_trick_000_018.mp4,121,2.018683,bytetrack,148,32,sports ball,0.565170,733.929,213.254,780.336,259.669,757.000,236.000,46.408,46.416
identical_balls_trick_000_018.mp4,121,2.018683,bytetrack,154,32,sports ball,0.562545,825.882,443.015,874.909,486.577,850.000,465.000,49.028,43.562
identical_balls_trick_000_018.mp4,122,2.035367,bytetrack,148,32,sports ball,0.411998,735.712,223.577,782.174,270.037,759.000,247.000,46.462,46.460
identical_balls_trick_000_018.mp4,123,2.052050,bytetrack,148,32,sports ball,0.556505,736.987,236.428,783.696,283.168,760.000,260.000,46.709,46.740
identical_balls_trick_000_018.mp4,124,2.068733,bytetrack,,32,sports ball,0.362293,763.206,415.969,800.977,459.930,782.000,438.000,37.771,43.961
identical_balls_trick_000_018.mp4,124,2.068733,bytetrack,,32,sports ball,0.314148,556.552,473.907,602.978,514.043,580.000,494.000,46.426,40.136
identical_balls_trick_000_018.mp4,124,2.068733,bytetrack,,32,sports ball,0.298496,738.808,256.065,784.451,302.655,762.000,279.000,45.642,46.589
identical_balls_trick_000_018.mp4,125,2.085417,bytetrack,,32,sports ball,0.215275,554.133,441.431,601.432,479.349,578.000,460.000,47.299,37.917
identical_balls_trick_000_018.mp4,125,2.085417,bytetrack,,32,sports ball,0.212258,736.446,410.440,774.716,455.037,756.000,433.000,38.270,44.597
identical_balls_trick_000_018.mp4,125,2.085417,bytetrack,,32,sports ball,0.192764,740.602,272.695,786.584,319.445,764.000,296.000,45.982,46.750
identical_balls_trick_000_018.mp4,126,2.102100,bytetrack,,32,sports ball,0.355092,709.873,405.569,755.563,451.520,733.000,429.000,45.690,45.951
identical_balls_trick_000_018.mp4,126,2.102100,bytetrack,,32,sports ball,0.330454,741.985,291.159,787.895,337.355,765.000,314.000,45.910,46.196
identical_balls_trick_000_018.mp4,126,2.102100,bytetrack,,32,sports ball,0.164575,552.989,410.806,599.125,450.539,576.000,431.000,46.135,39.733
identical_balls_trick_000_018.mp4,127,2.118783,bytetrack,,32,sports ball,0.795604,682.425,404.071,729.399,450.257,706.000,427.000,46.974,46.186
identical_balls_trick_000_018.mp4,127,2.118783,bytetrack,,32,sports ball,0.788767,552.260,382.620,597.725,427.487,575.000,405.000,45.465,44.867
