video,frame,time_seconds,person_index,person_confidence,body_scale_shoulder_px,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,left_shoulder_x_smooth,left_shoulder_y_smooth,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,right_shoulder_x_smooth,right_shoulder_y_smooth,left_elbow_x,left_elbow_y,left_elbow_confidence,left_elbow_x_smooth,left_elbow_y_smooth,right_elbow_x,right_elbow_y,right_elbow_confidence,right_elbow_x_smooth,right_elbow_y_smooth,left_wrist_x,left_wrist_y,left_wrist_confidence,left_wrist_x_smooth,left_wrist_y_smooth,right_wrist_x,right_wrist_y,right_wrist_confidence,right_wrist_x_smooth,right_wrist_y_smooth
videos/AfNIkaVQNY4/02_0027_0030.mp4,15,0.250250,0,0.925306,187.035,1215.095,597.528,0.997939,1215.095,597.528,1028.072,595.345,0.998399,1025.792,595.345,1249.584,748.491,0.988069,1249.584,748.491,986.430,773.260,0.993954,986.430,773.260,1284.510,822.869,0.981763,1284.510,822.869,979.579,918.703,0.992918,979.579,918.703
videos/AfNIkaVQNY4/02_0027_0030.mp4,16,0.266933,0,0.931504,187.062,1212.688,600.665,0.998638,1212.688,599.306,1025.630,599.451,0.998439,1025.861,599.451,1254.456,764.968,0.993252,1242.432,744.880,993.617,781.593,0.995192,993.617,781.593,1305.673,840.860,0.980769,1284.510,836.422,987.263,931.783,0.993012,987.263,931.783
videos/AfNIkaVQNY4/02_0027_0030.mp4,17,0.283617,0,0.932547,185.180,1210.850,599.306,0.998145,1211.343,599.306,1025.792,606.057,0.998425,1025.861,606.057,1242.432,743.405,0.992947,1242.432,744.880,997.626,790.604,0.995152,997.626,790.604,1286.393,836.422,0.986323,1284.510,836.422,996.857,943.569,0.992213,996.857,943.569
videos/AfNIkaVQNY4/02_0027_0030.mp4,18,0.300300,0,0.933323,185.721,1211.343,599.342,0.997813,1210.850,599.342,1025.861,608.767,0.998448,1025.792,608.767,1241.542,744.880,0.990589,1242.432,744.880,1002.673,799.756,0.994758,1002.673,799.756,1278.562,837.774,0.982764,1278.562,837.774,1012.083,963.539,0.990489,1012.083,963.539
videos/AfNIkaVQNY4/02_0027_0030.mp4,19,0.316983,0,0.926871,184.401,1210.179,597.163,0.997551,1210.632,599.342,1026.419,612.525,0.998330,1025.792,612.525,1239.719,734.603,0.990850,1242.432,744.880,1008.436,804.808,0.994413,1008.436,804.808,1266.477,834.884,0.985425,1266.477,837.774,1024.749,975.966,0.989495,1024.749,975.966
videos/AfNIkaVQNY4/02_0027_0030.mp4,20,0.333667,0,0.911187,187.046,1210.632,602.412,0.998798,1210.179,599.342,1023.951,614.099,0.997989,1023.951,613.383,1266.042,831.691,0.990573,1241.542,824.052,1015.210,813.785,0.994940,1015.210,813.785,1204.595,852.029,0.960353,1204.595,847.881,1043.121,986.657,0.992523,1043.121,975.966
videos/AfNIkaVQNY4/02_0027_0030.mp4,21,0.350350,0,0.902641,185.247,1207.866,600.052,0.998201,1207.866,597.163,1023.099,613.383,0.997785,1023.099,613.648,1246.452,826.214,0.985321,1239.719,824.052,1022.304,819.210,0.994868,1022.304,818.076,1187.984,851.707,0.944717,1187.984,847.881,1060.850,982.489,0.991549,1060.850,975.966
videos/AfNIkaVQNY4/02_0027_0030.mp4,22,0.367033,0,0.901043,184.977,1206.808,596.589,0.997743,1206.808,596.589,1022.620,613.648,0.997603,1022.620,614.099,1223.997,824.052,0.986716,1223.997,824.052,1031.104,819.757,0.993909,1031.104,818.076,1151.850,847.881,0.964719,1183.791,851.707,1072.866,975.186,0.988453,1072.866,975.186
videos/AfNIkaVQNY4/02_0027_0030.mp4,23,0.383717,0,0.899559,188.202,1203.871,589.415,0.995834,1203.871,589.415,1018.114,619.657,0.997877,1018.196,617.793,1210.239,765.214,0.969154,1210.239,799.231,1041.135,818.076,0.993179,1041.135,818.076,1183.791,834.028,0.946336,1151.850,851.707,1090.257,973.820,0.987334,1090.257,973.820
videos/AfNIkaVQNY4/02_0027_0030.mp4,24,0.400400,0,0.895631,184.493,1198.422,587.636,0.996579,1198.422,587.636,1016.838,620.273,0.996756,1018.114,617.793,1186.751,792.575,0.961442,1186.751,792.575,1049.021,815.305,0.989948,1041.135,815.305,1112.022,868.668,0.857442,1112.178,847.881,1108.966,968.737,0.981017,1090.257,968.737
videos/AfNIkaVQNY4/02_0027_0030.mp4,25,0.417083,0,0.887529,179.632,1194.846,585.199,0.996641,1194.846,585.199,1018.196,617.793,0.996877,1016.838,617.793,1176.360,799.231,0.964165,1176.360,765.214,1048.828,811.600,0.989880,1041.135,811.600,1110.550,853.631,0.890342,1112.178,837.787,1127.487,953.521,0.981433,1090.257,953.521
videos/AfNIkaVQNY4/02_0027_0030.mp4,26,0.433767,0,0.889661,177.161,1188.966,578.815,0.996325,1188.966,578.815,1013.969,606.420,0.993967,1013.969,606.420,1173.192,748.220,0.958440,1173.192,748.220,1034.335,766.602,0.934483,1034.335,766.602,1112.178,837.787,0.913173,1112.178,837.787,1067.415,836.868,0.923529,1067.415,836.868
videos/AfNIkaVQNY4/02_0027_0030.mp4,27,0.450450,0,0.875123,175.090,1184.885,572.722,0.997852,1184.885,572.722,1011.548,597.443,0.987291,1011.548,597.443,1167.623,718.572,0.980274,1167.623,718.572,1029.341,741.427,0.739479,1031.377,741.427,1131.606,831.908,0.970355,1112.178,831.908,1063.106,833.429,0.752714,1063.575,836.167
videos/AfNIkaVQNY4/02_0027_0030.mp4,28,0.467133,0,0.878869,175.588,1181.387,568.447,0.998155,1181.387,568.447,1007.739,594.472,0.984250,1007.739,594.472,1163.268,710.302,0.988243,1163.268,710.302,1018.915,734.865,0.543709,1031.377,734.865,1121.182,819.385,0.986659,1112.178,821.687,1031.085,836.167,0.521315,1063.575,833.980
videos/AfNIkaVQNY4/02_0027_0030.mp4,29,0.483817,0,0.862900,176.854,1178.116,564.067,0.998048,1178.116,564.067,1003.027,588.990,0.981932,1003.027,588.990,1153.274,707.181,0.988054,1153.274,707.181,1031.377,730.265,0.587889,1031.377,730.265,1105.703,821.687,0.983977,1105.703,819.385,1063.575,833.980,0.664873,1063.575,833.429
videos/AfNIkaVQNY4/02_0027_0030.mp4,30,0.500500,0,0.877132,176.655,1174.483,555.578,0.997642,1174.483,555.578,999.987,583.113,0.987053,999.987,583.113,1144.539,703.749,0.984580,1144.539,703.749,1037.125,726.610,0.808452,1033.892,726.610,1103.502,818.475,0.977555,1103.502,818.475,1087.062,831.339,0.886550,1087.062,831.339
videos/AfNIkaVQNY4/02_0027_0030.mp4,31,0.517183,0,0.885531,179.828,1173.483,549.793,0.997209,1173.483,549.793,996.015,578.830,0.986397,996.015,578.830,1140.763,697.030,0.983055,1140.763,697.030,1033.892,722.954,0.794795,1033.892,722.954,1101.800,814.758,0.975416,1103.502,814.758,1094.389,825.513,0.842395,1094.389,825.513
videos/AfNIkaVQNY4/02_0027_0030.mp4,32,0.533867,0,0.894696,182.421,1170.518,547.321,0.997196,1170.518,547.321,990.593,577.399,0.991683,991.719,577.399,1139.165,692.652,0.980603,1140.763,692.652,1033.915,719.553,0.952957,1033.892,721.747,1102.147,804.556,0.967860,1103.502,805.760,1107.219,812.806,0.977160,1107.219,812.806
videos/AfNIkaVQNY4/02_0027_0030.mp4,33,0.550550,0,0.885617,175.769,1164.725,539.616,0.997366,1164.725,539.616,991.719,570.663,0.994630,990.593,570.663,1140.060,689.355,0.981304,1140.763,689.355,1032.386,721.747,0.981792,1032.386,721.747,1119.272,805.760,0.962018,1119.272,804.556,1113.172,810.841,0.989680,1108.115,812.806
videos/AfNIkaVQNY4/02_0027_0030.mp4,34,0.567233,0,0.895918,172.980,1161.185,533.563,0.997519,1161.185,533.563,990.530,561.834,0.990200,990.530,561.834,1141.465,680.704,0.987236,1141.465,680.704,1032.077,719.343,0.960853,1032.077,721.747,1129.365,799.292,0.979438,1129.365,799.292,1116.186,811.316,0.984885,1108.115,812.806
videos/AfNIkaVQNY4/02_0027_0030.mp4,35,0.583917,0,0.905898,179.737,1160.128,527.729,0.997933,1160.128,527.729,983.155,559.129,0.994275,983.155,559.129,1145.768,680.605,0.989554,1145.768,680.605,1014.151,726.528,0.984434,1014.151,725.779,1152.580,782.140,0.979486,1152.580,782.140,1108.115,815.519,0.992428,1108.115,815.519
videos/AfNIkaVQNY4/02_0027_0030.mp4,36,0.600600,0,0.899674,179.296,1155.459,525.000,0.997936,1155.459,525.000,978.443,553.506,0.996163,978.443,553.506,1151.153,678.087,0.992041,1151.153,679.953,1008.360,725.779,0.990368,1008.360,725.779,1172.313,773.321,0.983471,1172.313,773.321,1080.803,822.031,0.992437,1080.803,820.411
videos/AfNIkaVQNY4/02_0027_0030.mp4,37,0.617283,0,0.906269,181.352,1152.570,519.869,0.998176,1152.570,519.869,973.823,550.492,0.996621,973.823,550.492,1158.517,679.953,0.992239,1158.517,678.087,995.571,730.300,0.990776,995.571,725.779,1199.076,743.810,0.981898,1199.076,743.810,1062.244,829.940,0.991546,1062.244,820.826
videos/AfNIkaVQNY4/02_0027_0030.mp4,38,0.633967,0,0.902146,180.857,1147.557,511.925,0.998422,1147.557,511.925,968.607,538.119,0.996137,968.607,538.119,1166.104,669.170,0.993316,1166.104,669.170,977.510,715.376,0.988938,977.510,720.414,1231.831,715.283,0.981659,1231.831,715.283,1030.063,820.411,0.991314,1030.063,822.031
videos/AfNIkaVQNY4/02_0027_0030.mp4,39,0.650650,0,0.899718,184.687,1145.912,504.221,0.998393,1145.912,504.221,963.878,535.413,0.997011,963.878,535.413,1173.559,653.376,0.992184,1168.372,653.376,970.535,720.414,0.990418,970.535,715.376,1243.906,665.440,0.966311,1243.906,665.440,1010.953,820.826,0.984537,1010.953,820.826
videos/AfNIkaVQNY4/02_0027_0030.mp4,40,0.667333,0,0.910273,184.644,1140.906,497.372,0.997962,1143.655,497.372,959.276,530.599,0.996790,959.276,530.599,1168.372,633.286,0.994676,1173.559,633.286,954.961,715.122,0.992257,954.961,715.122,1252.683,617.877,0.988533,1252.683,617.877,1000.820,828.107,0.991921,1000.820,820.411
videos/AfNIkaVQNY4/02_0027_0030.mp4,41,0.684017,0,0.910271,188.732,1143.655,490.818,0.998428,1140.906,490.818,957.136,519.635,0.996677,957.136,519.635,1183.071,618.222,0.996071,1183.071,618.222,946.113,699.576,0.984053,946.113,699.576,1272.409,561.460,0.990257,1272.409,561.460,972.739,799.572,0.965623,972.739,799.572
videos/AfNIkaVQNY4/02_0027_0030.mp4,42,0.700700,0,0.916326,183.276,1137.771,478.803,0.998383,1139.959,478.803,956.583,506.387,0.996305,956.583,506.387,1201.649,593.672,0.996772,1201.649,593.672,941.061,662.760,0.989214,941.061,662.760,1283.013,509.244,0.990831,1278.061,509.244,944.978,769.559,0.984741,944.978,769.559
videos/AfNIkaVQNY4/02_0027_0030.mp4,43,0.717383,0,0.918335,186.942,1139.959,474.356,0.998028,1137.771,474.356,954.859,500.531,0.996303,954.859,500.531,1208.589,564.433,0.996096,1208.589,564.433,932.548,657.075,0.991659,932.548,657.075,1288.673,456.467,0.990131,1278.061,456.467,934.660,767.892,0.990114,934.660,767.892
