frame,time_seconds,track_id,confidence,center_x,center_y
2,0.033367,1,0.837167,553.165,347.082
3,0.050050,1,0.884583,553.053,368.549
3,0.050050,2,0.733108,713.173,366.470
4,0.066733,1,0.823091,552.781,395.033
4,0.066733,2,0.794196,712.375,344.046
5,0.083417,1,0.263305,552.602,424.462
5,0.083417,2,0.623144,711.598,319.434
6,0.100100,1,0.438313,552.342,454.992
6,0.100100,2,0.477771,711.164,295.296
7,0.116783,1,0.447278,552.136,486.442
7,0.116783,2,0.584841,710.968,273.114
8,0.133467,1,0.233000,551.449,519.830
8,0.133467,2,0.590068,710.845,253.221
8,0.133467,3,0.172623,772.163,473.270
9,0.150150,1,0.229583,550.414,548.935
9,0.150150,2,0.632476,710.825,235.827
9,0.150150,3,0.223218,787.848,480.756
10,0.166833,1,0.319067,549.540,574.879
10,0.166833,2,0.524035,710.604,220.983
10,0.166833,3,0.223218,796.005,484.785
11,0.183517,1,0.431967,549.298,597.724
11,0.183517,2,0.449327,710.267,208.632
11,0.183517,3,0.223218,804.161,488.815
12,0.200200,1,0.184563,549.827,617.664
12,0.200200,2,0.513071,710.103,198.493
12,0.200200,3,0.223218,812.317,492.844
13,0.216883,1,0.196990,551.718,634.287
13,0.216883,2,0.699566,710.016,190.521
13,0.216883,3,0.223218,820.474,496.873
14,0.233567,1,0.293956,553.759,645.923
14,0.233567,2,0.626435,709.821,184.734
15,0.250250,1,0.446738,555.292,652.299
15,0.250250,2,0.547052,709.317,180.983
15,0.250250,4,0.657738,866.629,531.546
16,0.266933,1,0.446738,556.274,668.378
16,0.266933,2,0.425026,708.784,179.307
16,0.266933,4,0.461105,868.870,533.506
17,0.283617,1,0.446738,557.256,684.458
17,0.283617,2,0.395066,708.348,179.491
17,0.283617,4,0.706884,869.457,532.009
18,0.300300,1,0.446738,558.237,700.538
18,0.300300,2,0.280171,707.906,181.706
18,0.300300,4,0.706884,870.559,532.639
19,0.316983,1,0.446738,559.219,716.617
19,0.316983,2,0.560067,707.157,185.597
19,0.316983,4,0.254726,863.567,523.642
20,0.333667,1,0.446738,560.200,732.697
20,0.333667,2,0.630828,706.477,191.475
20,0.333667,4,0.423111,852.895,512.813
20,0.333667,5,0.262496,565.213,590.323
21,0.350350,2,0.318198,705.494,199.381
21,0.350350,4,0.812284,837.807,501.111
21,0.350350,5,0.341252,566.075,564.528
22,0.367033,2,0.248163,704.599,208.813
22,0.367033,4,0.411429,817.289,488.561
22,0.367033,5,0.201477,566.253,535.104
23,0.383717,2,0.167686,703.615,220.394
23,0.383717,4,0.181043,792.504,475.523
23,0.383717,5,0.201477,567.132,515.321
24,0.400400,2,0.554653,702.905,233.710
24,0.400400,4,0.181043,778.113,466.018
24,0.400400,5,0.201477,568.012,495.538
25,0.417083,2,0.261601,702.291,248.958
25,0.417083,4,0.181043,763.723,456.512
25,0.417083,5,0.201477,568.891,475.754
26,0.433767,2,0.261601,701.564,258.985
26,0.433767,4,0.181043,749.332,447.007
26,0.433767,5,0.201477,569.770,455.971
27,0.450450,2,0.615654,700.785,279.808
27,0.450450,4,0.181043,734.941,437.501
27,0.450450,5,0.201477,570.650,436.188
27,0.450450,6,0.874979,558.724,398.133
28,0.467133,2,0.696052,699.867,302.164
28,0.467133,4,0.181043,720.550,427.996
28,0.467133,6,0.798094,556.977,376.309
29,0.483817,2,0.669716,698.824,325.849
29,0.483817,6,0.837010,555.144,352.573
30,0.500500,2,0.631177,697.884,350.658
30,0.500500,6,0.675431,553.859,329.299
31,0.517183,2,0.183634,696.954,376.788
31,0.517183,6,0.693792,552.259,307.713
32,0.533867,2,0.183634,696.062,398.058
32,0.533867,6,0.727789,550.792,288.195
33,0.550550,2,0.183634,695.171,419.327
33,0.550550,6,0.422673,549.063,270.995
33,0.550550,7,0.196586,497.175,428.783
34,0.567233,2,0.183634,694.279,440.597
34,0.567233,6,0.501750,547.053,256.306
34,0.567233,7,0.196586,491.810,429.090
35,0.583917,2,0.183634,693.387,461.867
35,0.583917,6,0.261906,545.198,243.720
35,0.583917,7,0.196586,486.446,429.397
36,0.600600,2,0.183634,692.495,483.137
36,0.600600,6,0.357210,543.596,233.429
36,0.600600,7,0.196586,481.081,429.704
37,0.617283,6,0.659746,541.913,225.577
38,0.633967,6,0.591395,540.070,219.748
39,0.650650,6,0.674280,538.436,215.855
39,0.650650,8,0.759841,397.717,458.073
40,0.667333,6,0.754191,536.885,214.055
40,0.667333,8,0.629672,390.482,465.181
41,0.684017,6,0.648435,535.265,214.044
41,0.684017,8,0.777797,384.781,471.563
42,0.700700,6,0.680988,533.830,216.037
42,0.700700,8,0.671334,382.706,476.044
43,0.717383,6,0.725420,532.351,219.873
43,0.717383,8,0.651514,386.320,477.606
43,0.717383,9,0.325066,725.951,601.942
44,0.734067,6,0.671184,530.840,225.429
44,0.734067,8,0.786438,393.554,475.898
44,0.734067,9,0.309094,730.393,598.261
45,0.750750,6,0.613023,529.340,232.653
45,0.750750,8,0.645827,405.001,470.991
45,0.750750,9,0.350669,733.859,588.501
46,0.767433,6,0.585212,528.009,241.717
46,0.767433,8,0.640144,421.165,463.397
46,0.767433,9,0.304931,736.113,573.444
47,0.784117,6,0.429079,526.590,252.796
47,0.784117,8,0.252420,441.509,454.468
47,0.784117,9,0.304931,739.217,567.149
48,0.800800,6,0.528441,525.255,265.762
48,0.800800,8,0.252420,451.963,450.817
48,0.800800,9,0.304931,742.321,560.854
49,0.817483,6,0.284275,523.661,280.494
49,0.817483,8,0.252420,462.416,447.166
49,0.817483,9,0.304931,745.425,554.560
50,0.834167,6,0.756161,522.290,296.659
50,0.834167,8,0.252420,472.870,443.514
50,0.834167,9,0.304931,748.529,548.265
51,0.850850,6,0.685294,521.008,315.325
51,0.850850,8,0.252420,483.323,439.863
51,0.850850,9,0.304931,751.633,541.970
51,0.850850,10,0.604701,730.877,446.006
52,0.867533,6,0.854965,519.844,335.666
52,0.867533,8,0.252420,493.777,436.211
52,0.867533,10,0.697430,728.673,422.355
53,0.884217,6,0.586401,518.688,357.513
53,0.884217,10,0.364831,726.070,396.743
54,0.900900,6,0.785672,517.526,380.884
54,0.900900,10,0.522899,723.519,371.765
55,0.917583,6,0.629518,516.462,405.959
55,0.917583,10,0.740202,721.402,348.732
56,0.934267,6,0.702504,515.489,432.623
56,0.934267,10,0.699493,719.357,328.020
57,0.950950,6,0.196223,514.162,461.233
57,0.950950,10,0.165606,717.560,309.727
58,0.967633,6,0.299266,513.092,491.755
58,0.967633,10,0.403947,715.678,293.752
59,0.984317,6,0.299266,511.932,517.321
59,0.984317,10,0.701500,713.681,280.551
60,1.001000,6,0.299266,510.772,542.886
60,1.001000,10,0.603774,712.073,269.627
61,1.017683,6,0.299266,509.612,568.452
61,1.017683,10,0.617790,710.525,261.006
62,1.034367,6,0.299266,508.452,594.017
62,1.034367,10,0.679461,708.885,254.214
63,1.051050,6,0.168127,513.861,614.022
63,1.051050,10,0.597561,707.402,249.537
