clip_index,video,clip_path,source_tracklet,candidate_tracklet,gap_frames,prediction_error,source_end_frame,candidate_start_frame,candidate_rank
18,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00018_source-15_candidate-17_gap-10_rank-1_error-138.37.mp4,15,17,10,138.374729,154,165,1
19,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00019_source-15_candidate-16_gap-2_rank-2_error-213.25.mp4,15,16,2,213.245485,154,157,2
20,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00020_source-16_candidate-19_gap-2_rank-1_error-571.38.mp4,16,19,2,571.379028,171,174,1
21,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00021_source-17_candidate-22_gap-7_rank-1_error-144.93.mp4,17,22,7,144.932401,212,220,1
22,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00022_source-18_candidate-21_gap-0_rank-1_error-238.09.mp4,18,21,0,238.086167,211,212,1
23,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00023_source-18_candidate-22_gap-8_rank-2_error-401.11.mp4,18,22,8,401.108582,211,220,2
24,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00024_source-19_candidate-20_gap-1_rank-1_error-107.20.mp4,19,20,1,107.20428,200,202,1
25,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00025_source-20_candidate-22_gap-6_rank-1_error-283.37.mp4,20,22,6,283.373597,213,220,1
26,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00026_source-21_candidate-22_gap-2_rank-1_error-70.58.mp4,21,22,2,70.582141,217,220,1
27,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00027_source-22_candidate-27_gap-5_rank-1_error-149.01.mp4,22,27,5,149.010697,257,263,1
28,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00028_source-23_candidate-25_gap-2_rank-1_error-89.17.mp4,23,25,2,89.171723,240,243,1
29,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00029_source-25_candidate-27_gap-6_rank-1_error-109.14.mp4,25,27,6,109.135584,256,263,1
30,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00030_source-25_candidate-26_gap-0_rank-2_error-155.81.mp4,25,26,0,155.808292,256,257,2
31,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00031_source-28_candidate-29_gap-3_rank-1_error-3.65.mp4,28,29,3,3.654163,387,391,1
32,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/videos/identical_balls_trick_000_018.mp4,/home/it-admin/.hermes/profiles/juggling-tracker/workspace/juggling-yolo/outputs/stitch_review/identical_balls_trick_000_018/00032_source-29_candidate-34_gap-5_rank-1_error-27.43.mp4,29,34,5,27.429865,465,471,1
