arm,video,total_detections,mean_per_frame,median_per_frame,frames_with_0,frames_with_1,frames_with_2,frames_with_3,frames_with_4+,conf_mean,conf_median,n_unique_track_ids,n_track_rows,observed_fraction,track_observed_median,track_observed_mean,lifespan_median,lifespan_max,short_tracks_le_5,short_tracks_le_10,n_stitch_candidates,n_stitch_sources,stitch_gap_median,stitch_gap_max,rank1_error_median,rank1_error_p75,mask_area_median,mask_area_p90,bbox_to_centroid_dist_median,bbox_to_centroid_dist_p90
yolo26s,identical_balls,2731,2.571563088512241,3.0,17,143,272,551,96,0.49253268143537166,0.482155,54,2937,0.8512087163772557,40.0,54.388888888888886,40.0,175,1,7,43,33,5,10,125.688842,200.065674,,,,
yolo26l,identical_balls,3292,3.05097312326228,3,0,1,24,995,59,0.6879201482381531,0.749314,14,3317,0.9773892071148629,139.5,236.92857142857142,139.5,886,3,3,3,2,1,3,51.406397999999996,77.03542850000001,,,,
yolo26l-seg,identical_balls,2467,2.435340572556762,3,66,151,287,559,16,0.4564636193757601,0.457007,72,2769,0.8057060310581438,23.0,38.458333333333336,23.0,156,6,14,98,60,5.0,10,131.79719949999998,182.43870400000003,1714,2099.0,1.6302760502442484,4.084337283605434
yolo26s_yt,youtube_clip,4135,4.60467706013363,5.0,2,7,19,71,801,0.475903931076179,0.482517,40,4339,0.8743950218944457,68.5,108.475,68.5,415,2,5,28,27,5.0,9,105.329669,161.93201800000003,,,,
yolo26l_yt,youtube_clip,4052,4.502222222222223,5.0,0,0,6,114,780,0.5176555429417572,0.543132,43,4258,0.881634570220761,73,99.02325581395348,73,355,3,3,38,30,4.5,10,104.931433,173.41828225,,,,
yolo26l-seg_yt,youtube_clip,3925,4.361111111111111,4.0,0,5,14,164,717,0.5215527385987261,0.558698,50,4173,0.8571770908219506,66.5,83.46,66.5,220,2,3,46,36,5.5,10,126.116144,168.532312,363,403.0,0.6922867902826643,1.1559454960630298
