video,frame,time_seconds,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height,frame_local_instance_index,mask_area_px,mask_centroid_x,mask_centroid_y,mask_centroid_valid,polygon_points
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,2,0.033367,32,sports ball,0.631004,575.869,291.427,596.925,312.636,586.397,302.032,21.056,21.209,2,405,585.881,302.741,1,"579,293;579,294;578,295;577,295;576,295;576,296;576,297;576,298;576,299;576,300;576,301;576,302;576,303;576,304;576,305;576,306;576,307;576,308;576,309;576,310;577,311;578,311;579,311;580,312;580,313;581,313;582,313;583,313;584,313;585,313;586,313;587,313;588,313;589,313;590,313;591,313;591,312;592,311;593,310;594,310;595,310;596,309;596,308;596,307;596,306;596,305;596,304;596,303;596,302;596,301;596,300;596,299;596,298;596,297;596,296;595,295;594,294;593,293;592,293;591,293;590,293;589,293;588,293;580,293"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,2,0.033367,32,sports ball,0.532541,523.310,376.553,543.647,395.288,533.479,385.921,20.338,18.735,3,340,533.453,386.124,1,"528,377;527,378;527,379;527,380;526,381;525,381;524,381;524,382;524,383;524,384;524,385;524,386;524,387;524,388;524,389;524,390;524,391;524,392;525,393;526,394;527,395;528,395;529,395;530,395;531,395;532,395;533,395;534,395;535,395;536,395;537,395;538,395;539,395;540,394;540,393;541,392;542,392;543,391;543,390;543,389;543,388;543,387;543,386;543,385;543,384;543,383;543,382;543,381;542,380;541,379;540,378;539,377;538,377;537,377;536,377;535,377;534,377;533,377;532,377;531,377;530,377;529,377"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,3,0.050050,32,sports ball,0.512452,627.821,236.485,647.962,256.545,637.892,246.515,20.141,20.060,0,363,637.380,247.080,1,"630,238;629,239;628,240;628,241;628,242;628,243;628,244;628,245;628,246;628,247;628,248;628,249;628,250;628,251;628,252;628,253;629,254;630,254;631,255;632,256;633,257;634,257;635,257;636,257;637,257;638,257;639,257;640,257;641,257;642,257;643,256;644,255;645,254;646,253;647,252;647,251;647,250;647,249;647,248;647,247;647,246;647,245;647,244;647,243;647,242;647,241;646,240;645,239;644,238;643,238;642,238;641,238;640,238;639,238;638,238;637,238;636,238;635,238;634,238;633,238;632,238;631,238"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,3,0.050050,32,sports ball,0.353407,576.842,281.692,598.262,303.239,587.552,292.465,21.420,21.546,1,420,587.557,292.512,1,"580,283;579,284;578,285;577,286;577,287;577,288;577,289;577,290;577,291;577,292;577,293;577,294;577,295;577,296;577,297;577,298;578,299;579,300;580,301;581,302;582,302;583,303;584,303;585,303;586,303;587,303;588,303;589,303;590,303;591,303;592,302;593,302;594,302;595,301;596,300;597,299;598,298;598,297;598,296;598,295;598,294;598,293;598,292;598,291;598,290;598,289;598,288;598,287;598,286;598,285;597,284;596,283;595,283;594,283;593,283;592,283;591,283;590,283;589,283;588,283;587,283;586,283;585,283;581,283"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,3,0.050050,32,sports ball,0.350486,521.590,390.041,543.952,408.783,532.771,399.412,22.362,18.742,2,350,532.937,398.717,1,"523,390;523,391;523,392;523,393;523,394;523,395;523,396;523,397;523,398;523,399;523,400;523,401;524,402;524,403;525,404;526,404;527,405;528,406;528,407;529,408;530,408;531,408;532,408;533,408;534,408;535,408;536,408;537,408;538,408;539,408;540,407;541,407;542,406;543,405;543,404;543,403;543,402;543,401;543,400;543,399;543,398;543,397;543,396;542,395;541,394;540,393;540,392;539,391;538,390;537,390;536,390;535,390;534,390;533,390;532,390;531,390;530,390;529,390;528,390;527,390;526,390;525,390;524,390"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,3,0.050050,32,sports ball,0.304949,569.513,202.045,589.470,221.839,579.492,211.942,19.956,19.795,3,364,579.978,213.110,1,"571,204;571,205;571,206;571,207;571,208;571,209;571,210;571,211;571,212;571,213;571,214;571,215;571,216;571,217;571,218;571,219;571,220;572,221;573,222;574,223;575,223;576,223;577,223;578,223;579,223;580,223;581,223;582,223;583,223;584,223;585,222;586,221;587,220;588,219;589,218;590,217;590,216;590,215;590,214;590,213;590,212;590,211;590,210;590,209;590,208;589,207;588,206;587,205;587,204;586,204;585,204;584,204;583,204;582,204;581,204;580,204;579,204;578,204;577,204;576,204;575,204;574,204;573,204;572,204"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,4,0.066733,32,sports ball,0.391824,521.361,399.605,541.231,417.398,531.296,408.501,19.870,17.793,0,316,531.342,408.538,1,"523,400;523,401;523,402;523,403;523,404;523,405;523,406;523,407;523,408;523,409;523,410;523,411;523,412;523,413;523,414;523,415;523,416;524,417;525,417;526,417;527,417;528,417;529,417;530,417;531,417;532,417;533,417;534,417;535,417;536,417;537,417;538,417;539,417;539,416;540,415;540,414;540,413;540,412;540,411;540,410;540,409;540,408;540,407;540,406;540,405;540,404;539,403;539,402;539,401;538,400;537,400;536,400;535,400;534,400;533,400;532,400;531,400;530,400;529,400;528,400;527,400;526,400;525,400;524,400"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,4,0.066733,32,sports ball,0.316042,578.548,272.572,599.552,294.115,589.050,283.343,21.004,21.543,1,401,588.928,283.414,1,"580,274;580,275;580,276;579,277;579,278;579,279;579,280;579,281;579,282;579,283;579,284;579,285;579,286;579,287;579,288;579,289;580,290;581,291;582,292;583,293;584,294;585,294;586,294;587,294;588,294;589,294;590,294;591,294;592,294;593,293;594,293;595,293;596,292;597,291;598,290;598,289;598,288;599,287;599,286;599,285;599,284;599,283;599,282;599,281;599,280;599,279;599,278;599,277;598,276;598,275;598,274;597,274;596,274;595,274;594,274;593,274;592,274;591,274;590,274;589,274;588,274;587,274;586,274;581,274"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,4,0.066733,32,sports ball,0.161652,629.013,242.104,649.638,262.409,639.326,252.257,20.625,20.305,2,376,639.098,252.622,1,"629,244;629,245;629,246;629,247;629,248;629,249;629,250;629,251;629,252;629,253;629,254;629,255;629,256;629,257;629,258;630,259;631,260;632,260;633,261;634,261;635,262;636,262;637,262;638,262;639,262;640,262;641,262;642,262;643,262;644,262;645,261;646,261;647,260;648,259;648,258;649,257;650,257;650,256;650,255;650,254;650,253;650,252;650,251;650,250;650,249;650,248;649,248;648,247;647,246;647,245;646,244;645,244;644,244;643,244;642,244;641,244;640,244;639,244;638,244;637,244;636,244;635,244;634,244;630,244"
youtube_juggling_for_data_analysis_eh1I3SlZn48_075_090.mp4,4,0.066733,32,sports ball,0.161299,568.680,201.974,588.556,221.250,578.618,211.612,19.876,19.276,3,341,578.138,212.182,1,"569,204;569,205;569,206;569,207;569,208;569,209;569,210;569,211;569,212;569,213;569,214;569,215;569,216;569,217;569,218;569,219;569,220;570,220;571,221;572,221;573,221;574,221;575,221;576,221;577,221;578,221;579,221;580,221;581,221;582,221;583,221;584,220;585,219;586,218;587,217;588,216;588,215;588,214;588,213;588,212;588,211;588,210;588,209;588,208;588,207;588,206;587,205;587,204;586,204;585,204;584,204;583,204;582,204;581,204;580,204;579,204;578,204;577,204;576,204;575,204;574,204;573,204;572,204;570,204"
