track_id,boundary_type,boundary_frame,boundary_x,boundary_y,hand,endpoint_distance_px,recent_min_distance_px,endpoint_distance_normalized,recent_min_distance_normalized,n_synchronized_samples,motion,signed_trend,proximity_band,hand_evidence,post_contact,eligible_hand_set,preferred_hand,ambiguous,evidence_reason
10,END,1074,535.041000,639.963000,LEFT,289.236560,289.236560,1.552048,1.552048,5,APPROACHING,-12.237245,FAR,0,0,{RIGHT},RIGHT,0,far
10,END,1074,535.041000,639.963000,RIGHT,88.486849,74.392790,0.474822,0.399193,5,SEPARATING,3.321618,POSSIBLE,1,1,{RIGHT},RIGHT,0,possible + recent very_near (post_contact)
11,START,885,679.180000,544.791000,LEFT,9.089083,9.089083,0.053165,0.053165,5,SEPARATING,24.109283,VERY_NEAR,1,0,"{LEFT,RIGHT}",LEFT,0,very_near
11,START,885,679.180000,544.791000,RIGHT,80.227451,80.227451,0.469276,0.469276,5,SEPARATING,6.267110,POSSIBLE,1,0,"{LEFT,RIGHT}",LEFT,0,possible + separating
11,END,1078,745.672000,446.866000,LEFT,45.435992,42.355231,0.252623,0.235494,5,APPROACHING,-5.212534,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
11,END,1078,745.672000,446.866000,RIGHT,233.639882,233.639882,1.299031,1.299031,5,APPROACHING,-24.404214,FAR,0,0,{LEFT},LEFT,0,far
12,START,936,57.808000,678.959000,LEFT,577.158494,577.158494,3.373322,3.373322,1,INSUFFICIENT,,FAR,0,0,{},,0,far
12,START,936,57.808000,678.959000,RIGHT,481.375113,481.375113,2.813496,2.813496,1,INSUFFICIENT,,FAR,0,0,{},,0,far
12,END,936,57.808000,678.959000,LEFT,577.158494,577.158494,3.373322,3.373322,1,INSUFFICIENT,,FAR,0,0,{},,0,far
12,END,936,57.808000,678.959000,RIGHT,481.375113,481.375113,2.813496,2.813496,1,INSUFFICIENT,,FAR,0,0,{},,0,far
13,START,953,724.278000,537.087000,LEFT,26.061661,26.061661,0.150163,0.150163,5,SEPARATING,28.213055,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
13,START,953,724.278000,537.087000,RIGHT,176.461565,176.461565,1.016741,1.016741,5,SEPARATING,29.102546,FAR,0,0,{LEFT},LEFT,0,far
13,END,1078,709.619000,318.842000,LEFT,176.087769,176.087769,0.979043,0.979043,5,APPROACHING,-17.515612,FAR,0,0,{},,0,far
13,END,1078,709.619000,318.842000,RIGHT,280.056571,280.056571,1.557107,1.557107,5,APPROACHING,-15.522678,FAR,0,0,{},,0,far
14,START,1077,535.205000,558.994000,LEFT,226.663108,209.438807,1.260241,1.164474,2,INSUFFICIENT,-17.224301,FAR,0,0,{RIGHT},RIGHT,0,far
14,START,1077,535.205000,558.994000,RIGHT,26.715877,7.320748,0.148540,0.040703,2,INSUFFICIENT,-19.395129,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
14,END,1078,535.382000,530.982000,LEFT,209.438807,209.438807,1.164474,1.164474,2,INSUFFICIENT,-17.224301,FAR,0,0,{RIGHT},RIGHT,0,far
14,END,1078,535.382000,530.982000,RIGHT,7.320748,7.320748,0.040703,0.040703,2,INSUFFICIENT,-19.395129,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
