frame,event_type,track_id,action,resolved_hand,matched_source_track_id,pending_before,pending_after
6,HAND_EXIT,3,UNMATCHED_NO_COMPATIBLE_SOURCE,,,,
7,HAND_ENTRY,3,PENDING_ENTRY,,,,T3:{RIGHT}
24,HAND_ENTRY,2,PENDING_ENTRY,,,T3:{RIGHT},T3:{RIGHT};T2:{RIGHT}
27,HAND_EXIT,4,MATCHED_FIFO,RIGHT,3,T3:{RIGHT};T2:{RIGHT},T2:{RIGHT}
32,HAND_ENTRY,1,PENDING_ENTRY,,,T2:{RIGHT},"T2:{RIGHT};T1:{LEFT,RIGHT}"
67,HAND_ENTRY,5,PENDING_ENTRY,,,"T2:{RIGHT};T1:{LEFT,RIGHT}","T2:{RIGHT};T1:{LEFT,RIGHT};T5:{RIGHT}"
73,HAND_EXIT,7,MATCHED_FIFO,LEFT,1,"T2:{RIGHT};T1:{LEFT,RIGHT};T5:{RIGHT}",T2:{RIGHT};T5:{RIGHT}
74,HAND_ENTRY,7,PENDING_ENTRY,,,T2:{RIGHT};T5:{RIGHT},T2:{RIGHT};T5:{RIGHT};T7:{LEFT}
82,HAND_EXIT,8,MATCHED_FIFO,RIGHT,2,T2:{RIGHT};T5:{RIGHT};T7:{LEFT},T5:{RIGHT};T7:{LEFT}
97,HAND_EXIT,9,MATCHED_FIFO,RIGHT,5,T5:{RIGHT};T7:{LEFT},T7:{LEFT}
107,HAND_ENTRY,9,PENDING_ENTRY,,,T7:{LEFT},T7:{LEFT};T9:{LEFT}
115,HAND_EXIT,10,MATCHED_FIFO,LEFT,7,T7:{LEFT};T9:{LEFT},T9:{LEFT}
136,HAND_ENTRY,10,PENDING_ENTRY,,,T9:{LEFT},T9:{LEFT};T10:{RIGHT}
159,HAND_EXIT,12,MATCHED_FIFO,RIGHT,10,T9:{LEFT};T10:{RIGHT},T9:{LEFT}
160,HAND_ENTRY,6,PENDING_ENTRY,,,T9:{LEFT},"T9:{LEFT};T6:{LEFT,RIGHT}"
203,HAND_ENTRY,13,PENDING_ENTRY,,,"T9:{LEFT};T6:{LEFT,RIGHT}","T9:{LEFT};T6:{LEFT,RIGHT};T13:{RIGHT}"
208,HAND_EXIT,15,MATCHED_FIFO,RIGHT,6,"T9:{LEFT};T6:{LEFT,RIGHT};T13:{RIGHT}",T9:{LEFT};T13:{RIGHT}
223,HAND_EXIT,16,MATCHED_FIFO,RIGHT,13,T9:{LEFT};T13:{RIGHT},T9:{LEFT}
232,HAND_ENTRY,16,PENDING_ENTRY,,,T9:{LEFT},T9:{LEFT};T16:{LEFT}
240,HAND_EXIT,17,MATCHED_FIFO,LEFT,9,T9:{LEFT};T16:{LEFT},T16:{LEFT}
243,HAND_EXIT,18,UNMATCHED_NO_COMPATIBLE_SOURCE,,,T16:{LEFT},T16:{LEFT}
263,HAND_ENTRY,15,PENDING_ENTRY,,,T16:{LEFT},T16:{LEFT};T15:{RIGHT}
287,HAND_EXIT,19,MATCHED_FIFO,RIGHT,15,T16:{LEFT};T15:{RIGHT},T16:{LEFT}
291,HAND_ENTRY,18,PENDING_ENTRY,,,T16:{LEFT},"T16:{LEFT};T18:{LEFT,RIGHT}"
232,FINALIZATION,16,UNRESOLVED_PENDING_ENTRY,,,"T16:{LEFT};T18:{LEFT,RIGHT}","T16:{LEFT};T18:{LEFT,RIGHT}"
291,FINALIZATION,18,UNRESOLVED_PENDING_ENTRY,,,"T16:{LEFT};T18:{LEFT,RIGHT}","T16:{LEFT};T18:{LEFT,RIGHT}"
