track_id,boundary_type,boundary_frame,boundary_x,boundary_y,hand,endpoint_distance_px,recent_min_distance_px,endpoint_distance_normalized,recent_min_distance_normalized,n_synchronized_samples,motion,signed_trend,proximity_band,hand_evidence,post_contact,eligible_hand_set,preferred_hand,ambiguous,evidence_reason
1,START,2,1008.378000,346.086000,LEFT,209.279254,127.295633,1.069836,0.650736,5,APPROACHING,-21.752173,FAR,0,0,{},,0,far
1,START,2,1008.378000,346.086000,RIGHT,335.034003,335.034003,1.712695,1.712695,5,SEPARATING,15.712392,FAR,0,0,{},,0,far
1,END,32,893.765000,661.870000,LEFT,64.735501,28.045371,0.358399,0.155269,5,SEPARATING,4.182701,POSSIBLE,1,1,"{LEFT,RIGHT}",LEFT,0,possible + recent very_near (post_contact)
1,END,32,893.765000,661.870000,RIGHT,117.266764,117.266764,0.649231,0.649231,5,APPROACHING,-21.151468,POSSIBLE,1,0,"{LEFT,RIGHT}",LEFT,0,possible + approaching
2,START,2,937.093000,442.295000,LEFT,161.691531,161.691531,0.826568,0.826568,5,SEPARATING,10.629487,FAR,0,0,{},,0,far
2,START,2,937.093000,442.295000,RIGHT,217.608334,118.110214,1.112415,0.603780,5,APPROACHING,-24.798067,FAR,0,0,{},,0,far
2,END,24,1021.696000,817.974000,LEFT,419.965394,419.965394,2.386669,2.386669,5,APPROACHING,-19.059281,FAR,0,0,{RIGHT},RIGHT,0,far
2,END,24,1021.696000,817.974000,RIGHT,55.792702,55.792702,0.317071,0.317071,5,APPROACHING,-1.126240,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
3,START,6,887.487000,624.018000,LEFT,256.001781,256.001781,1.309285,1.309285,2,INSUFFICIENT,6.987942,FAR,0,0,{RIGHT},RIGHT,0,far
3,START,6,887.487000,624.018000,RIGHT,51.877923,51.877923,0.265322,0.265322,2,INSUFFICIENT,0.021786,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
3,END,7,889.373000,630.857000,LEFT,262.989723,256.001781,1.345023,1.309285,2,INSUFFICIENT,6.987942,FAR,0,0,{RIGHT},RIGHT,0,far
3,END,7,889.373000,630.857000,RIGHT,51.899709,51.877923,0.265434,0.265322,2,INSUFFICIENT,0.021786,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
4,START,27,1060.282000,728.661000,LEFT,309.225901,147.526338,1.702195,0.812088,5,APPROACHING,-42.462048,FAR,0,0,{RIGHT},RIGHT,0,far
4,START,27,1060.282000,728.661000,RIGHT,62.731735,60.352979,0.345319,0.332225,5,SEPARATING,8.049744,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
4,END,84,967.763000,899.739000,LEFT,285.460916,208.033698,1.494935,1.089455,5,SEPARATING,19.021840,FAR,0,0,{},,0,far
4,END,84,967.763000,899.739000,RIGHT,90.660407,70.949540,0.474781,0.371557,5,SEPARATING,4.907223,POSSIBLE,0,0,{},,0,possible
