track_id,boundary_type,boundary_frame,event_type,eligible_hand_set,preferred_hand,ambiguous,hand_evidence,video_start_boundary,video_end_boundary,reason
1,START,2,HAND_EXIT,{LEFT},LEFT,0,1,1,0,VIDEO_START_EXIT
2,START,2,HAND_EXIT,{RIGHT},RIGHT,0,1,1,0,VIDEO_START_EXIT
6,START,19,HAND_EXIT,{LEFT},LEFT,0,1,0,0,NO_COMPATIBLE_PENDING_SOURCE
10,START,60,HAND_EXIT,{RIGHT},RIGHT,0,1,0,0,NO_COMPATIBLE_PENDING_SOURCE
20,END,171,HAND_ENTRY,{LEFT},LEFT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
28,END,214,HAND_ENTRY,{LEFT},LEFT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
33,END,285,HAND_ENTRY,{LEFT},LEFT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
25,END,299,HAND_ENTRY,{RIGHT},RIGHT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
32,END,313,HAND_ENTRY,{LEFT},LEFT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
37,END,317,HAND_ENTRY,{RIGHT},RIGHT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
