track_id,boundary_type,boundary_frame,boundary_x,boundary_y,hand,endpoint_distance_px,recent_min_distance_px,endpoint_distance_normalized,recent_min_distance_normalized,n_synchronized_samples,motion,signed_trend,proximity_band,hand_evidence,post_contact,eligible_hand_set,preferred_hand,ambiguous,evidence_reason
1,START,2,1210.465000,907.297000,LEFT,66.768282,64.388959,0.331677,0.319858,5,NEUTRAL,-0.088085,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
1,START,2,1210.465000,907.297000,RIGHT,626.993105,339.720645,3.114642,1.687592,5,APPROACHING,-74.704992,FAR,0,0,{LEFT},LEFT,0,far
1,END,136,1058.939000,906.021000,LEFT,90.052686,81.437432,0.458248,0.414408,5,SEPARATING,1.268910,POSSIBLE,0,0,{},,0,possible
1,END,136,1058.939000,906.021000,RIGHT,277.792812,277.792812,1.413596,1.413596,5,APPROACHING,-61.264021,FAR,0,0,{},,0,far
2,START,2,1027.650000,507.915000,LEFT,388.372080,314.823849,1.929272,1.563915,5,APPROACHING,-18.850469,FAR,0,0,{},,0,far
2,START,2,1027.650000,507.915000,RIGHT,191.156408,102.355718,0.949586,0.508461,5,APPROACHING,-20.251056,FAR,0,0,{},,0,far
2,END,8,951.923000,750.701000,LEFT,288.219417,288.219417,1.434720,1.434720,5,APPROACHING,-16.583864,FAR,0,0,{RIGHT},RIGHT,0,far
2,END,8,951.923000,750.701000,RIGHT,49.592562,49.592562,0.246865,0.246865,5,APPROACHING,-22.527064,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
3,START,4,1148.282000,355.669000,LEFT,502.416088,362.122160,2.500964,1.802598,5,APPROACHING,-34.405443,FAR,0,0,{},,0,far
3,START,4,1148.282000,355.669000,RIGHT,273.767546,273.767546,1.362780,1.362780,5,SEPARATING,33.792615,FAR,0,0,{},,0,far
3,END,17,1298.357000,846.207000,LEFT,16.955401,16.955401,0.091562,0.091562,5,APPROACHING,-32.195881,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
3,END,17,1298.357000,846.207000,RIGHT,316.830568,316.830568,1.710933,1.710933,5,APPROACHING,-12.581154,FAR,0,0,{LEFT},LEFT,0,far
4,START,13,985.474000,891.876000,LEFT,288.461856,288.461856,1.557738,1.557738,5,SEPARATING,2.525466,FAR,0,0,{RIGHT},RIGHT,0,far
4,START,13,985.474000,891.876000,RIGHT,32.935898,32.935898,0.177859,0.177859,5,SEPARATING,4.308902,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
4,END,22,1101.892000,1040.824000,LEFT,206.089024,206.089024,1.114133,1.114133,5,APPROACHING,-23.887155,FAR,0,0,{RIGHT},RIGHT,0,far
4,END,22,1101.892000,1040.824000,RIGHT,71.769462,49.720060,0.387991,0.268791,5,SEPARATING,5.749341,POSSIBLE,1,1,{RIGHT},RIGHT,0,possible + recent very_near (post_contact)
5,START,20,1254.470000,838.666000,LEFT,50.719147,28.776266,0.274911,0.155975,5,APPROACHING,-1.144166,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
5,START,20,1254.470000,838.666000,RIGHT,252.031129,163.172467,1.366074,0.884437,5,APPROACHING,-22.439862,FAR,0,0,{LEFT},LEFT,0,far
