source_track_id,target_track_id,source_end_frame,target_start_frame,gap_frames,hold_seconds,association_type,resolved_hand,hand_ambiguous,source_eligible_hand_set,target_eligible_hand_set,source_preferred_hand,target_preferred_hand,source_ambiguous,target_ambiguous,match_rule
2,4,20,25,4,0.08341666666675009,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
4,5,25,28,2,0.050050000000050054,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
5,7,33,37,3,0.06673333333340006,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
1,8,23,59,35,0.6006000000006007,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
3,9,48,68,19,0.33366666666700034,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
6,10,43,84,40,0.6840166666673507,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
7,12,69,106,36,0.6172833333339507,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
12,14,113,118,4,0.08341666666675009,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
14,15,126,130,3,0.06673333333340006,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
10,17,115,154,38,0.6506500000006507,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
13,18,138,156,17,0.3003000000003003,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
19,20,172,178,5,0.10010000000010011,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
18,22,184,202,17,0.3003000000003003,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
15,23,162,218,55,0.9342666666676009,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
