track_id,boundary_type,boundary_frame,event_type,boundary_x,boundary_y,eligible_hand_set,preferred_hand,ambiguous,hand_evidence,evidence_reason,video_start_boundary,video_end_boundary,proximity_band,motion,endpoint_distance_px,endpoint_distance_normalized,recent_min_distance_px,recent_min_distance_normalized,post_contact
12,END,411,HAND_ENTRY,540.474000,464.744000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,NEUTRAL,12.313701,0.184064,12.313701,0.184064,0
13,END,426,HAND_ENTRY,641.601000,465.770000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,APPROACHING,11.959668,0.176414,6.089810,0.089829,0
20,START,428,NON_HAND_START,583.476000,351.161000,{},,0,0,far,0,0,,,,,,,0
21,END,436,HAND_ENTRY,617.673000,427.094000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,INSUFFICIENT,8.728957,0.128254,8.728957,0.128254,0
21,START,436,HAND_EXIT,617.673000,427.094000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,INSUFFICIENT,8.728957,0.128254,8.728957,0.128254,0
22,START,446,NON_HAND_START,603.081000,306.039000,{},,0,0,far,0,0,,,,,,,0
18,END,466,HAND_ENTRY,616.239000,422.897000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,APPROACHING,13.344031,0.196629,12.529890,0.184632,0
19,END,468,HAND_ENTRY,538.124000,463.329000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,APPROACHING,13.810685,0.204800,13.810685,0.204800,0
23,START,475,NON_HAND_START,604.524000,306.258000,{},,0,0,far,0,0,,,,,,,0
24,START,486,NON_HAND_START,586.713000,346.553000,{},,0,0,far,0,0,,,,,,,0
22,END,498,HAND_ENTRY,542.367000,483.280000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,18.117629,0.282052,7.605834,0.118406,0
25,START,512,NON_HAND_START,583.440000,368.877000,{},,0,0,far,0,0,,,,,,,0
17,END,519,HAND_ENTRY,622.319000,476.104000,{LEFT},LEFT,0,1,possible + recent very_near (post_contact),0,0,POSSIBLE,SEPARATING,31.254472,0.462310,11.934164,0.176528,1
26,START,529,NON_HAND_START,611.710000,319.882000,{},,0,0,far,0,0,,,,,,,0
23,END,596,HAND_ENTRY,655.782000,440.734000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,NEUTRAL,9.275884,0.132854,4.947756,0.070864,0
27,START,607,HAND_EXIT,623.487000,445.661000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,8.871829,0.133459,7.411014,0.111484,0
24,END,608,HAND_ENTRY,543.337000,417.282000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,APPROACHING,4.292511,0.060435,3.977971,0.056006,0
28,START,621,HAND_EXIT,566.614000,473.219000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,NEUTRAL,19.391691,0.281631,12.550833,0.182279,0
20,END,630,HAND_ENTRY,634.502000,475.453000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,NEUTRAL,11.877873,0.174234,8.757604,0.128463,0
29,START,638,HAND_EXIT,614.922000,441.845000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,10.625959,0.158495,10.625959,0.158495,0
25,END,643,HAND_ENTRY,540.785000,466.510000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,NEUTRAL,16.844060,0.260446,15.377269,0.237766,0
30,START,652,HAND_EXIT,571.054000,452.710000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,8.521928,0.126667,8.389057,0.124692,0
27,END,672,HAND_ENTRY,534.535000,453.656000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,18.675917,0.284941,14.297291,0.218136,0
31,START,686,HAND_EXIT,572.608000,401.351000,{RIGHT},RIGHT,0,1,possible + separating,0,0,POSSIBLE,SEPARATING,30.340030,0.451354,30.340030,0.451354,0
29,END,709,HAND_ENTRY,557.332000,480.672000,{RIGHT},RIGHT,0,1,possible + recent very_near (post_contact),0,0,POSSIBLE,SEPARATING,25.769070,0.376262,13.403448,0.195708,1
30,END,716,HAND_ENTRY,624.229000,467.386000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,NEUTRAL,7.932016,0.116399,6.050375,0.088787,0
32,START,718,NON_HAND_START,577.886000,353.553000,{},,0,0,far,0,0,,,,,,,0
33,END,725,HAND_ENTRY,617.038000,437.954000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,INSUFFICIENT,5.458267,0.078554,5.458267,0.078554,0
33,START,725,HAND_EXIT,617.038000,437.954000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,INSUFFICIENT,5.458267,0.078554,5.458267,0.078554,0
34,START,732,NON_HAND_START,605.445000,341.270000,{},,0,0,far,0,0,,,,,,,0
31,END,743,HAND_ENTRY,651.022000,434.980000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,APPROACHING,4.880886,0.070634,4.880886,0.070634,0
35,START,755,HAND_EXIT,619.869000,422.664000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,12.769395,0.189404,12.769395,0.189404,0
28,END,758,HAND_ENTRY,531.220000,462.336000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,APPROACHING,18.830975,0.281425,18.830975,0.281425,0
36,START,768,HAND_EXIT,567.837000,463.233000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,14.648830,0.215193,11.818376,0.173613,0
34,END,787,HAND_ENTRY,524.179000,456.621000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,22.497542,0.347780,15.955068,0.246643,0
37,START,804,NON_HAND_START,585.771000,355.049000,{},,0,0,far,0,0,,,,,,,0
35,END,822,NON_HAND_END,570.430000,483.434000,{},,0,0,far,0,0,,,,,,,0
37,END,831,NON_HAND_END,631.478000,231.203000,{},,0,0,far,0,0,,,,,,,0
38,START,831,NON_HAND_START,630.467000,232.498000,{},,0,0,far,0,0,,,,,,,0
39,START,836,NON_HAND_START,602.829000,310.480000,{},,0,0,far,0,0,,,,,,,0
32,END,853,HAND_ENTRY,582.223000,460.549000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,APPROACHING,19.250802,0.289255,19.250802,0.289255,0
38,END,853,HAND_ENTRY,665.190000,421.797000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,APPROACHING,10.759287,0.161665,10.759287,0.161665,0
40,START,861,NON_HAND_START,592.197000,341.411000,{},,0,0,far,0,0,,,,,,,0
41,START,868,HAND_EXIT,624.455000,420.116000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,12.322398,0.191609,12.322398,0.191609,0
26,END,878,HAND_ENTRY,567.197000,482.622000,{RIGHT},RIGHT,0,1,possible + recent very_near (post_contact),0,0,POSSIBLE,SEPARATING,24.310967,0.373658,19.278746,0.296313,1
42,START,883,HAND_EXIT,580.052000,416.502000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,21.434883,0.320301,21.434883,0.320301,0
39,END,888,HAND_ENTRY,656.551000,474.584000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,APPROACHING,13.176002,0.188522,11.251541,0.160987,0
43,START,895,HAND_EXIT,626.863000,450.363000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,7.870055,0.115847,7.613350,0.112068,0
36,END,899,HAND_ENTRY,545.327000,450.414000,{RIGHT},RIGHT,0,1,very_near,0,1,VERY_NEAR,SEPARATING,6.838089,0.100656,3.781283,0.055660,0
40,END,899,NON_HAND_END,645.798000,298.032000,{},,0,0,far,0,1,,,,,,,0
41,END,899,NON_HAND_END,586.029000,213.987000,{},,0,0,far,0,1,,,,,,,0
42,END,899,NON_HAND_END,611.521000,234.683000,{},,0,0,far,0,1,,,,,,,0
43,END,899,HAND_ENTRY,620.333000,393.900000,{LEFT},LEFT,0,1,possible + recent very_near (post_contact),0,1,POSSIBLE,SEPARATING,32.612781,0.480059,7.613350,0.112068,1
