source_track_id,target_track_id,source_end_frame,target_start_frame,gap_frames,hold_seconds,association_type,resolved_hand,hand_ambiguous,source_eligible_hand_set,target_eligible_hand_set,source_preferred_hand,target_preferred_hand,source_ambiguous,target_ambiguous,match_rule
1,4,18,20,1,0.03336666666670003,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
2,5,21,24,2,0.050050000000050054,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
3,6,40,43,2,0.050050000000050054,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
6,7,47,54,6,0.11678333333345012,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
5,9,66,81,14,0.2502500000002503,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
7,11,89,94,4,0.08341666666675009,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
11,12,99,102,2,0.050050000000050054,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
10,13,118,121,2,0.050050000000050054,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
9,14,119,122,2,0.050050000000050054,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
12,15,140,143,2,0.050050000000050054,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
15,16,148,152,3,0.06673333333340006,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
13,17,166,169,2,0.050050000000050054,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
14,18,164,177,12,0.21688333333355023,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
