arm,video,total_detections,mean_per_frame,median_per_frame,frames_with_0,frames_with_1,frames_with_2,frames_with_3,frames_with_4+,conf_mean,conf_median,n_unique_track_ids,n_track_rows,observed_fraction,track_observed_median,track_observed_mean,lifespan_median,lifespan_max,short_tracks_le_5,short_tracks_le_10,n_stitch_candidates,n_stitch_sources,stitch_gap_median,stitch_gap_max,rank1_error_median,rank1_error_p75,mask_area_median,mask_area_p90,bbox_to_centroid_dist_median,bbox_to_centroid_dist_p90
yolo26s,identical_balls,2731,2.571563088512241,3.0,17,143,272,551,96,0.49253268143537166,0.482155,54,2937,0.8512087163772557,40.0,54.388888888888886,40.0,175,1,7,43,33,5,10,125.688842,200.065674,,,,
yolo26l,identical_balls,3292,3.05097312326228,3,0,1,24,995,59,0.6879201482381531,0.749314,14,3317,0.9773892071148629,139.5,236.92857142857142,139.5,886,3,3,3,2,1,3,51.406397999999996,77.03542850000001,,,,
yolo26l-seg,identical_balls,2467,2.435340572556762,3,66,151,287,559,16,0.4564636193757601,0.457007,72,2769,0.8057060310581438,23.0,38.458333333333336,23.0,156,6,14,98,60,5.0,10,131.79719949999998,182.43870400000003,1714,2099.0,1.6302760502442484,4.084337283605434
yolo26x,identical_balls,2356,2.294060370009737,2,52,224,306,468,29,0.3617380101867572,0.32856549999999995,79,2697,0.7775305895439377,19,34.139240506329116,19,371,11,23,103,61,4,10,111.49798,212.275749,,,,
