source_tracklet,candidate_tracklet,gap_frames,predicted_x,predicted_y,candidate_start_x,candidate_start_y,prediction_error,source_end_frame,candidate_start_frame,end_velocity_x,end_velocity_y,candidate_rank
39,45,3,463.709000,891.770000,402.892000,647.366000,251.857147,784,788,1.527000,35.229000,1
41,42,1,601.156000,595.097000,555.112000,427.575000,173.734483,703,705,-0.252000,6.528000,1
42,47,6,558.232000,697.975000,582.909000,638.258000,64.614816,814,821,-1.413000,18.533000,1
43,44,3,574.897000,621.971000,572.516000,635.439000,13.676849,723,727,-0.912000,2.053000,1
44,52,6,678.489000,327.890000,668.960000,468.642000,141.074191,859,866,1.164000,-1.380000,1
44,51,4,676.161000,330.650000,450.292000,290.176000,229.466664,859,864,1.164000,-1.380000,2
45,46,3,348.298000,490.065000,373.726000,343.908000,148.352458,799,803,-3.697000,-12.391000,1
46,50,4,536.386000,563.114000,500.379000,541.107000,42.199669,840,845,4.114000,26.141000,1
46,49,2,528.158000,510.832000,589.101000,98.918000,416.397878,840,843,4.114000,26.141000,2
47,49,7,567.630000,237.325000,589.101000,98.918000,140.062491,835,843,-0.720000,-21.870000,1
47,50,9,566.190000,193.585000,500.379000,541.107000,353.698499,835,845,-0.720000,-21.870000,2
48,49,5,585.526000,280.036000,589.101000,98.918000,181.153279,837,843,0.342000,-8.936000,1
48,50,7,586.210000,262.164000,500.379000,541.107000,291.849547,837,845,0.342000,-8.936000,2
49,54,2,740.003000,717.461000,658.087000,434.539000,294.542169,887,890,7.721000,12.839000,1
50,51,5,411.982000,549.608000,450.292000,290.176000,262.245341,858,864,-4.414000,-0.737000,1
50,52,7,403.154000,548.134000,668.960000,468.642000,277.437935,858,866,-4.414000,-0.737000,2
51,56,6,321.141000,793.061000,348.462000,495.245000,299.066559,907,914,-8.894000,11.061000,1
51,55,2,356.717000,748.817000,608.407000,313.696000,502.671006,907,910,-8.894000,11.061000,2
52,53,7,672.800000,834.275000,621.274000,668.239000,173.847295,874,882,0.240000,21.972000,1
53,58,10,405.340000,838.884000,565.034000,601.109000,286.424727,932,943,-1.570000,27.712000,1
54,55,10,568.495000,138.542000,608.407000,313.696000,179.643790,899,910,-4.364000,-14.461000,1
55,57,0,538.683000,632.830000,498.785000,462.280000,175.154654,931,932,-2.735000,21.089000,1
56,61,4,567.343000,1047.890000,739.625000,489.262000,584.590737,965,970,4.107000,34.318000,1
57,60,8,737.769000,601.812000,543.617000,709.482000,222.008621,955,964,0.532000,-2.218000,1
58,61,6,858.605000,486.160000,739.625000,489.262000,119.020430,963,970,12.909000,-1.342000,1
58,60,0,781.151000,494.212000,543.617000,709.482000,320.567581,963,964,12.909000,-1.342000,2
59,64,1,713.568000,657.122000,702.330000,474.546000,182.921536,1003,1005,1.621000,0.729000,1
60,63,9,578.685000,236.010000,538.278000,193.614000,58.567452,978,988,1.001000,-22.847000,1
61,66,0,726.788000,482.086000,577.936000,456.698000,151.001551,1032,1033,-7.865000,-2.367000,1
62,63,6,549.589000,337.050000,538.278000,193.614000,143.881287,981,988,-0.316000,-7.474000,1
63,65,4,502.761000,523.789000,507.818000,609.557000,85.916955,1012,1017,-1.088000,20.079000,1
64,69,4,763.172000,723.638000,608.215000,455.686000,309.531818,1051,1056,7.366000,10.130000,1
64,70,5,770.538000,733.768000,709.157000,363.492000,375.329113,1051,1057,7.366000,10.130000,2
66,67,5,195.716000,560.707000,417.631000,494.678000,231.529903,1044,1050,-22.196000,7.616000,1
66,68,6,173.520000,568.323000,711.181000,517.648000,540.043801,1044,1051,-22.196000,7.616000,2
67,69,0,521.560000,455.078000,608.215000,455.686000,86.657133,1055,1056,15.540000,-5.962000,1
67,70,1,537.100000,449.116000,709.157000,363.492000,192.185017,1055,1057,15.540000,-5.962000,2
67,71,9,661.420000,401.420000,840.808000,485.058000,197.927688,1055,1065,15.540000,-5.962000,3
68,69,1,713.679000,485.842000,608.215000,455.686000,109.690654,1054,1056,0.500000,-6.361000,1
68,70,2,714.179000,479.481000,709.157000,363.492000,116.097668,1054,1057,0.500000,-6.361000,2
68,71,10,718.179000,428.593000,840.808000,485.058000,135.004325,1054,1065,0.500000,-6.361000,3
69,72,5,1111.455000,506.132000,534.940000,584.203000,581.777128,1070,1076,22.980000,3.260000,1
