arm,video,total_detections,mean_per_frame,median_per_frame,frames_with_0,frames_with_1,frames_with_2,frames_with_3,frames_with_4+,conf_mean,conf_median,n_unique_track_ids,n_track_rows,observed_fraction,track_observed_median,track_observed_mean,lifespan_median,lifespan_max,short_tracks_le_5,short_tracks_le_10,n_stitch_candidates,n_stitch_sources,stitch_gap_median,stitch_gap_max,rank1_error_median,rank1_error_p75,mask_area_median,mask_area_p90,bbox_to_centroid_dist_median,bbox_to_centroid_dist_p90
yolo26s,youtube,4135,4.60467706013363,5.0,2,7,19,71,801,0.475903931076179,0.482517,40,4339,0.8743950218944457,68.5,108.475,68.5,415,2,5,28,27,5.0,9,105.329669,161.93201800000003,,,,
yolo26l,youtube,4052,4.502222222222223,5.0,0,0,6,114,780,0.5176555429417572,0.543132,43,4258,0.881634570220761,73,99.02325581395348,73,355,3,3,38,30,4.5,10,104.931433,173.41828225,,,,
yolo26l-seg,youtube,3925,4.361111111111111,4.0,0,5,14,164,717,0.5215527385987261,0.558698,50,4173,0.8571770908219506,66.5,83.46,66.5,220,2,3,46,36,5.5,10,126.116144,168.532312,363,403.0,0.6922867902826643,1.1559454960630298
yolo26x,youtube,4136,4.610925306577481,5,3,7,26,84,780,0.5424007652321083,0.5708095,34,4418,0.8789044816659122,79.5,129.94117647058823,79.5,490,0,3,27,23,3,9,102.179917,150.68199,,,,
