source_track_id,target_track_id,source_end_frame,target_start_frame,gap_frames,hold_seconds,association_type,resolved_hand,hand_ambiguous,source_eligible_hand_set,target_eligible_hand_set,source_preferred_hand,target_preferred_hand,source_ambiguous,target_ambiguous,match_rule
7,12,32,81,48,0.8174833333341508,HAND,LEFT,False,{LEFT},"{LEFT,RIGHT}",LEFT,,False,True,FIFO_AMBIGUOUS_EXIT_RESOLVED
6,13,88,93,4,0.08341666666675009,HAND,RIGHT,False,"{LEFT,RIGHT}",{RIGHT},RIGHT,RIGHT,False,False,FIFO
3,14,60,108,47,0.8008000000008009,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
15,16,129,132,2,0.050050000000050054,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
12,17,102,141,38,0.6506500000006507,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
14,21,158,160,1,0.03336666666670003,HAND,LEFT,False,"{LEFT,RIGHT}",{LEFT},LEFT,LEFT,False,False,FIFO
21,23,160,165,4,0.08341666666675009,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
16,24,161,168,6,0.11678333333345012,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
13,29,128,221,92,1.5515500000015516,HAND,RIGHT,False,{RIGHT},"{LEFT,RIGHT}",RIGHT,,False,True,FIFO_AMBIGUOUS_EXIT_RESOLVED
22,30,173,231,57,0.967633333334301,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
23,31,165,232,66,1.1177833333344511,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
24,33,227,280,52,0.8842166666675509,HAND,RIGHT,False,"{LEFT,RIGHT}",{RIGHT},RIGHT,RIGHT,False,False,FIFO
30,38,268,320,51,0.8675333333342009,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
