frame,event_type,track_id,action,resolved_hand,matched_source_track_id,pending_before,pending_after
2,HAND_EXIT,2,UNMATCHED_VIDEO_START,,,,
6,HAND_EXIT,3,UNMATCHED_NO_COMPATIBLE_SOURCE,,,,
27,HAND_ENTRY,3,PENDING_ENTRY,,,,T3:{LEFT}
36,HAND_EXIT,4,MATCHED_FIFO,LEFT,3,T3:{LEFT},
37,HAND_ENTRY,1,PENDING_ENTRY,,,,T1:{RIGHT}
40,HAND_EXIT,5,MATCHED_FIFO,RIGHT,1,T1:{RIGHT},
60,HAND_ENTRY,4,PENDING_ENTRY,,,,T4:{LEFT}
71,HAND_EXIT,7,MATCHED_FIFO,LEFT,4,T4:{LEFT},
93,HAND_ENTRY,7,PENDING_ENTRY,,,,T7:{LEFT}
102,HAND_EXIT,8,MATCHED_FIFO,LEFT,7,T7:{LEFT},
120,HAND_ENTRY,2,PENDING_ENTRY,,,,T2:{RIGHT}
120,HAND_ENTRY,9,PENDING_ENTRY,,,T2:{RIGHT},T2:{RIGHT};T9:{LEFT}
120,FINALIZATION,2,VIDEO_END_PENDING_ENTRY,,,T2:{RIGHT};T9:{LEFT},T2:{RIGHT};T9:{LEFT}
120,FINALIZATION,9,VIDEO_END_PENDING_ENTRY,,,T2:{RIGHT};T9:{LEFT},T2:{RIGHT};T9:{LEFT}
