track_id,boundary_type,boundary_frame,event_type,boundary_x,boundary_y,eligible_hand_set,preferred_hand,ambiguous,hand_evidence,evidence_reason,video_start_boundary,video_end_boundary,proximity_band,motion,endpoint_distance_px,endpoint_distance_normalized,recent_min_distance_px,recent_min_distance_normalized,post_contact
1,START,2,HAND_EXIT,1097.116000,283.312000,{RIGHT},RIGHT,0,1,possible + separating,1,0,POSSIBLE,SEPARATING,141.140145,0.656719,141.140145,0.656719,0
2,START,2,NON_HAND_START,1105.358000,413.374000,{},,0,0,far,1,0,,,,,,,0
3,START,2,HAND_EXIT,931.193000,638.656000,{LEFT},LEFT,0,1,very_near,1,0,VERY_NEAR,SEPARATING,69.663508,0.324141,69.663508,0.324141,0
1,END,18,HAND_ENTRY,1175.800000,590.935000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,APPROACHING,18.796167,0.081215,18.796167,0.081215,0
4,START,20,HAND_EXIT,1164.144000,525.327000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,43.641051,0.202294,43.641051,0.202294,0
2,END,21,HAND_ENTRY,998.092000,938.379000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,73.441099,0.320364,27.969926,0.122010,0
5,START,24,HAND_EXIT,1047.582000,890.603000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,54.797774,0.257656,54.797774,0.257656,0
3,END,40,HAND_ENTRY,799.384000,823.983000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,APPROACHING,48.274851,0.239122,10.068655,0.049873,0
6,START,43,HAND_EXIT,871.060000,834.667000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,37.887299,0.183235,37.887299,0.183235,0
6,END,47,HAND_ENTRY,991.684000,822.446000,{RIGHT},RIGHT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,69.906507,0.338090,37.887299,0.183235,0
7,START,54,HAND_EXIT,1069.098000,579.343000,{RIGHT},RIGHT,0,1,possible + separating,0,0,POSSIBLE,SEPARATING,128.859540,0.570364,128.859540,0.570364,0
5,END,66,HAND_ENTRY,856.974000,499.906000,{RIGHT},RIGHT,0,1,possible + approaching,0,0,POSSIBLE,APPROACHING,115.579491,0.497039,115.579491,0.497039,0
4,END,74,NON_HAND_END,866.942000,872.327000,{},,0,0,possible,0,0,,,,,,,0
8,END,77,NON_HAND_END,866.323000,763.183000,{},,0,0,insufficient motion,0,0,,,,,,,0
8,START,77,NON_HAND_START,866.323000,763.183000,{},,0,0,insufficient motion,0,0,,,,,,,0
9,START,81,HAND_EXIT,1036.896000,346.086000,{RIGHT},RIGHT,0,1,possible + separating,0,0,POSSIBLE,SEPARATING,118.748419,0.568305,114.710903,0.548982,0
10,START,82,NON_HAND_START,901.301000,557.048000,{},,0,0,far,0,0,,,,,,,0
7,END,89,HAND_ENTRY,1138.820000,740.115000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,APPROACHING,20.582232,0.095756,20.582232,0.095756,0
11,START,94,HAND_EXIT,1030.740000,788.791000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,32.137474,0.138451,32.137474,0.138451,0
11,END,99,HAND_ENTRY,919.003000,736.889000,{LEFT},LEFT,0,1,very_near,0,0,VERY_NEAR,SEPARATING,75.374837,0.331961,36.288566,0.159820,0
