frame,event_type,track_id,action,resolved_hand,matched_source_track_id,pending_before,pending_after
686,HAND_EXIT,31,MATCHED_FIFO,RIGHT,22,T21:{LEFT};T18:{LEFT};T22:{RIGHT};T17:{LEFT};T23:{LEFT};T24:{RIGHT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT},T21:{LEFT};T18:{LEFT};T17:{LEFT};T23:{LEFT};T24:{RIGHT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT}
709,HAND_ENTRY,29,PENDING_ENTRY,,,T21:{LEFT};T18:{LEFT};T17:{LEFT};T23:{LEFT};T24:{RIGHT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT},T21:{LEFT};T18:{LEFT};T17:{LEFT};T23:{LEFT};T24:{RIGHT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT}
716,HAND_ENTRY,30,PENDING_ENTRY,,,T21:{LEFT};T18:{LEFT};T17:{LEFT};T23:{LEFT};T24:{RIGHT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT},T21:{LEFT};T18:{LEFT};T17:{LEFT};T23:{LEFT};T24:{RIGHT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT}
725,HAND_EXIT,33,MATCHED_FIFO,LEFT,21,T21:{LEFT};T18:{LEFT};T17:{LEFT};T23:{LEFT};T24:{RIGHT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT},T18:{LEFT};T17:{LEFT};T23:{LEFT};T24:{RIGHT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT}
725,HAND_ENTRY,33,PENDING_ENTRY,,,T18:{LEFT};T17:{LEFT};T23:{LEFT};T24:{RIGHT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT},T18:{LEFT};T17:{LEFT};T23:{LEFT};T24:{RIGHT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT}
743,HAND_ENTRY,31,PENDING_ENTRY,,,T18:{LEFT};T17:{LEFT};T23:{LEFT};T24:{RIGHT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT},T18:{LEFT};T17:{LEFT};T23:{LEFT};T24:{RIGHT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT}
755,HAND_EXIT,35,MATCHED_FIFO,LEFT,18,T18:{LEFT};T17:{LEFT};T23:{LEFT};T24:{RIGHT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT},T17:{LEFT};T23:{LEFT};T24:{RIGHT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT}
758,HAND_ENTRY,28,PENDING_ENTRY,,,T17:{LEFT};T23:{LEFT};T24:{RIGHT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT},T17:{LEFT};T23:{LEFT};T24:{RIGHT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT}
768,HAND_EXIT,36,MATCHED_FIFO,RIGHT,24,T17:{LEFT};T23:{LEFT};T24:{RIGHT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT},T17:{LEFT};T23:{LEFT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT}
787,HAND_ENTRY,34,PENDING_ENTRY,,,T17:{LEFT};T23:{LEFT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT},T17:{LEFT};T23:{LEFT};T20:{LEFT};T25:{RIGHT};T27:{RIGHT};T29:{RIGHT};T30:{LEFT};T33:{LEFT};T31:{LEFT};T28:{RIGHT};T34:{RIGHT}
