track_id,boundary_type,boundary_frame,boundary_x,boundary_y,hand,endpoint_distance_px,recent_min_distance_px,endpoint_distance_normalized,recent_min_distance_normalized,n_synchronized_samples,motion,signed_trend,proximity_band,hand_evidence,post_contact,eligible_hand_set,preferred_hand,ambiguous,evidence_reason
10,END,255,632.456000,466.133000,LEFT,9.364371,3.700387,0.140156,0.055383,5,SEPARATING,1.251425,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
10,END,255,632.456000,466.133000,RIGHT,103.105030,77.065645,1.543165,1.153436,5,SEPARATING,6.817979,FAR,0,0,{LEFT},LEFT,0,far
11,START,111,592.300000,382.924000,LEFT,88.543146,88.543146,1.310081,1.310081,5,SEPARATING,10.711189,FAR,0,0,{RIGHT},RIGHT,0,far
11,START,111,592.300000,382.924000,RIGHT,38.352232,38.352232,0.567458,0.567458,5,SEPARATING,14.659427,POSSIBLE,1,0,{RIGHT},RIGHT,0,possible + separating
11,END,242,554.966000,484.558000,LEFT,116.874871,73.543063,1.847503,1.162534,5,SEPARATING,7.505244,FAR,0,0,{RIGHT},RIGHT,0,far
11,END,242,554.966000,484.558000,RIGHT,21.292282,5.900997,0.336578,0.093280,5,SEPARATING,2.537446,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
12,START,206,626.626000,432.722000,LEFT,4.920650,4.920650,0.078893,0.078893,5,SEPARATING,9.170036,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
12,START,206,626.626000,432.722000,RIGHT,89.587976,85.577740,1.436372,1.372076,5,SEPARATING,5.131687,FAR,0,0,{LEFT},LEFT,0,far
12,END,411,540.474000,464.744000,LEFT,106.795920,95.645856,1.596375,1.429705,5,SEPARATING,2.905415,FAR,0,0,{RIGHT},RIGHT,0,far
12,END,411,540.474000,464.744000,RIGHT,12.313701,12.313701,0.184064,0.184064,5,NEUTRAL,-0.434046,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
13,START,222,573.151000,448.078000,LEFT,77.183082,72.700390,1.184389,1.115601,5,SEPARATING,5.815692,FAR,0,0,{RIGHT},RIGHT,0,far
13,START,222,573.151000,448.078000,RIGHT,6.343939,6.343939,0.097349,0.097349,5,SEPARATING,8.235561,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
13,END,426,641.601000,465.770000,LEFT,11.959668,6.089810,0.176414,0.089829,5,APPROACHING,-0.969839,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
13,END,426,641.601000,465.770000,RIGHT,97.067239,82.183083,1.431818,1.212265,5,NEUTRAL,-0.206633,FAR,0,0,{LEFT},LEFT,0,far
14,START,244,605.957000,317.614000,LEFT,91.573450,91.573450,1.392900,1.392900,5,SEPARATING,13.541375,FAR,0,0,{},,0,far
14,START,244,605.957000,317.614000,RIGHT,152.784357,152.784357,2.323964,2.323964,5,SEPARATING,6.329237,FAR,0,0,{},,0,far
14,END,296,532.918000,457.886000,LEFT,102.408530,98.519229,1.528782,1.470722,5,SEPARATING,0.549767,FAR,0,0,{RIGHT},RIGHT,0,far
14,END,296,532.918000,457.886000,RIGHT,17.487093,17.487093,0.261052,0.261052,5,APPROACHING,-1.294823,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
15,START,253,573.646000,395.319000,LEFT,75.624352,75.624352,1.108114,1.108114,5,SEPARATING,13.701168,FAR,0,0,{RIGHT},RIGHT,0,far
15,START,253,573.646000,395.319000,RIGHT,25.254539,25.254539,0.370052,0.370052,5,SEPARATING,12.648443,POSSIBLE,1,0,{RIGHT},RIGHT,0,possible + separating
15,END,313,644.702000,472.730000,LEFT,17.925002,5.594416,0.268600,0.083830,5,NEUTRAL,-0.117415,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
15,END,313,644.702000,472.730000,RIGHT,122.015309,95.386860,1.828356,1.429338,5,NEUTRAL,0.194827,FAR,0,0,{LEFT},LEFT,0,far
16,START,274,601.177000,312.203000,LEFT,96.873145,96.873145,1.455470,1.455470,5,SEPARATING,12.786107,FAR,0,0,{},,0,far
16,START,274,601.177000,312.203000,RIGHT,157.930402,157.930402,2.372824,2.372824,5,SEPARATING,4.138417,FAR,0,0,{},,0,far
16,END,320,530.157000,427.301000,LEFT,96.309753,96.309753,1.423143,1.423143,5,APPROACHING,-6.143430,FAR,0,0,{RIGHT},RIGHT,0,far
16,END,320,530.157000,427.301000,RIGHT,13.130422,13.130422,0.194025,0.194025,5,APPROACHING,-2.423401,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
17,START,309,573.529000,401.563000,LEFT,82.516286,82.516286,1.214994,1.214994,5,SEPARATING,11.700513,FAR,0,0,{RIGHT},RIGHT,0,far
17,START,309,573.529000,401.563000,RIGHT,23.105446,23.105446,0.340211,0.340211,5,SEPARATING,12.428082,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
17,END,519,622.319000,476.104000,LEFT,31.254472,11.934164,0.462310,0.176528,5,SEPARATING,3.061117,POSSIBLE,1,1,{LEFT},LEFT,0,possible + recent very_near (post_contact)
17,END,519,622.319000,476.104000,RIGHT,100.592225,100.592225,1.487941,1.487941,5,APPROACHING,-1.851021,FAR,0,0,{LEFT},LEFT,0,far
18,START,320,618.207000,438.479000,LEFT,10.163203,10.163203,0.155090,0.155090,5,SEPARATING,9.581430,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
18,START,320,618.207000,438.479000,RIGHT,77.886244,77.886244,1.188540,1.188540,5,SEPARATING,10.125231,FAR,0,0,{LEFT},LEFT,0,far
18,END,466,616.239000,422.897000,LEFT,13.344031,12.529890,0.196629,0.184632,5,APPROACHING,-3.786808,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
18,END,466,616.239000,422.897000,RIGHT,71.579351,70.973552,1.054747,1.045820,5,APPROACHING,-10.800592,FAR,0,0,{LEFT},LEFT,0,far
19,START,339,575.668000,402.832000,LEFT,78.224097,78.224097,1.169269,1.169269,5,SEPARATING,11.019517,FAR,0,0,{RIGHT},RIGHT,0,far
19,START,339,575.668000,402.832000,RIGHT,27.601581,27.601581,0.412580,0.412580,5,SEPARATING,10.536726,POSSIBLE,1,0,{RIGHT},RIGHT,0,possible + separating
19,END,468,538.124000,463.329000,LEFT,102.859022,95.224179,1.525306,1.412088,5,NEUTRAL,-0.133626,FAR,0,0,{RIGHT},RIGHT,0,far
19,END,468,538.124000,463.329000,RIGHT,13.810685,13.810685,0.204800,0.204800,5,APPROACHING,-0.807894,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
20,START,428,583.476000,351.161000,LEFT,119.423100,119.423100,1.775835,1.775835,5,SEPARATING,8.832995,FAR,0,0,{},,0,far
20,START,428,583.476000,351.161000,RIGHT,68.411709,68.411709,1.017290,1.017290,5,SEPARATING,12.194884,FAR,0,0,{},,0,far
20,END,630,634.502000,475.453000,LEFT,11.877873,8.757604,0.174234,0.128463,5,NEUTRAL,-0.156436,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
20,END,630,634.502000,475.453000,RIGHT,110.826457,92.815236,1.625689,1.361486,5,SEPARATING,4.700096,FAR,0,0,{LEFT},LEFT,0,far
21,START,436,617.673000,427.094000,LEFT,8.728957,8.728957,0.128254,0.128254,1,INSUFFICIENT,,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
21,START,436,617.673000,427.094000,RIGHT,66.037193,66.037193,0.970279,0.970279,1,INSUFFICIENT,,FAR,0,0,{LEFT},LEFT,0,far
21,END,436,617.673000,427.094000,LEFT,8.728957,8.728957,0.128254,0.128254,1,INSUFFICIENT,,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
21,END,436,617.673000,427.094000,RIGHT,66.037193,66.037193,0.970279,0.970279,1,INSUFFICIENT,,FAR,0,0,{LEFT},LEFT,0,far
22,START,446,603.081000,306.039000,LEFT,102.521533,102.521533,1.556280,1.556280,5,SEPARATING,14.132351,FAR,0,0,{},,0,far
22,START,446,603.081000,306.039000,RIGHT,163.315127,163.315127,2.479129,2.479129,5,SEPARATING,4.324239,FAR,0,0,{},,0,far
22,END,498,542.367000,483.280000,LEFT,125.570290,89.237006,1.954858,1.389227,5,SEPARATING,6.139454,FAR,0,0,{RIGHT},RIGHT,0,far
22,END,498,542.367000,483.280000,RIGHT,18.117629,7.605834,0.282052,0.118406,5,SEPARATING,1.845936,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
23,START,475,604.524000,306.258000,LEFT,113.402258,113.402258,1.672254,1.672254,5,SEPARATING,12.955344,FAR,0,0,{},,0,far
23,START,475,604.524000,306.258000,RIGHT,162.395460,162.395460,2.394719,2.394719,5,SEPARATING,3.656291,FAR,0,0,{},,0,far
23,END,596,655.782000,440.734000,LEFT,9.275884,4.947756,0.132854,0.070864,5,NEUTRAL,-0.485618,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
23,END,596,655.782000,440.734000,RIGHT,94.768530,94.768530,1.357326,1.357326,5,APPROACHING,-3.084416,FAR,0,0,{LEFT},LEFT,0,far
24,START,486,586.713000,346.553000,LEFT,121.224594,121.224594,1.779600,1.779600,5,SEPARATING,8.708207,FAR,0,0,{},,0,far
24,START,486,586.713000,346.553000,RIGHT,81.748876,81.748876,1.200089,1.200089,5,SEPARATING,15.979795,FAR,0,0,{},,0,far
24,END,608,543.337000,417.282000,LEFT,85.692734,85.692734,1.206481,1.206481,5,APPROACHING,-10.139764,FAR,0,0,{RIGHT},RIGHT,0,far
24,END,608,543.337000,417.282000,RIGHT,4.292511,3.977971,0.060435,0.056006,5,APPROACHING,-9.301383,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
25,START,512,583.440000,368.877000,LEFT,102.233663,102.233663,1.533152,1.533152,5,SEPARATING,10.863911,FAR,0,0,{},,0,far
25,START,512,583.440000,368.877000,RIGHT,51.444113,51.444113,0.771484,0.771484,5,SEPARATING,11.530816,FAR,0,0,{},,0,far
25,END,643,540.785000,466.510000,LEFT,105.432031,95.004283,1.630207,1.468972,5,SEPARATING,2.588907,FAR,0,0,{RIGHT},RIGHT,0,far
25,END,643,540.785000,466.510000,RIGHT,16.844060,15.377269,0.260446,0.237766,5,NEUTRAL,-0.394745,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
26,START,529,611.710000,319.882000,LEFT,86.281561,86.281561,1.309260,1.309260,5,SEPARATING,14.947082,FAR,0,0,{},,0,far
26,START,529,611.710000,319.882000,RIGHT,155.999528,155.999528,2.367180,2.367180,5,SEPARATING,7.085640,FAR,0,0,{},,0,far
26,END,878,567.197000,482.622000,LEFT,122.869601,122.869601,1.888500,1.888500,5,APPROACHING,-3.413189,FAR,0,0,{RIGHT},RIGHT,0,far
26,END,878,567.197000,482.622000,RIGHT,24.310967,19.278746,0.373658,0.296313,5,SEPARATING,1.356136,POSSIBLE,1,1,{RIGHT},RIGHT,0,possible + recent very_near (post_contact)
27,START,607,623.487000,445.661000,LEFT,8.871829,7.411014,0.133459,0.111484,5,SEPARATING,6.553031,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
27,START,607,623.487000,445.661000,RIGHT,86.339824,74.901472,1.298812,1.126745,5,SEPARATING,3.546012,FAR,0,0,{LEFT},LEFT,0,far
27,END,672,534.535000,453.656000,LEFT,109.149268,96.968055,1.665308,1.479457,5,SEPARATING,3.186266,FAR,0,0,{RIGHT},RIGHT,0,far
27,END,672,534.535000,453.656000,RIGHT,18.675917,14.297291,0.284941,0.218136,5,SEPARATING,0.754903,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
28,START,621,566.614000,473.219000,LEFT,101.377937,73.951659,1.472340,1.074020,5,APPROACHING,-6.798096,FAR,0,0,{RIGHT},RIGHT,0,far
28,START,621,566.614000,473.219000,RIGHT,19.391691,12.550833,0.281631,0.182279,5,NEUTRAL,-0.303087,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
28,END,758,531.220000,462.336000,LEFT,118.453699,103.632922,1.770264,1.548771,5,SEPARATING,2.344073,FAR,0,0,{RIGHT},RIGHT,0,far
28,END,758,531.220000,462.336000,RIGHT,18.830975,18.830975,0.281425,0.281425,5,APPROACHING,-2.088357,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
29,START,638,614.922000,441.845000,LEFT,10.625959,10.625959,0.158495,0.158495,5,SEPARATING,6.613267,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
29,START,638,614.922000,441.845000,RIGHT,70.850247,69.387523,1.056788,1.034970,5,SEPARATING,5.253867,FAR,0,0,{LEFT},LEFT,0,far
29,END,709,557.332000,480.672000,LEFT,88.247081,88.247081,1.288523,1.288523,5,APPROACHING,-4.025303,FAR,0,0,{RIGHT},RIGHT,0,far
29,END,709,557.332000,480.672000,RIGHT,25.769070,13.403448,0.376262,0.195708,5,SEPARATING,1.959351,POSSIBLE,1,1,{RIGHT},RIGHT,0,possible + recent very_near (post_contact)
30,START,652,571.054000,452.710000,LEFT,79.359290,66.325838,1.179573,0.985847,5,SEPARATING,1.622055,FAR,0,0,{RIGHT},RIGHT,0,far
30,START,652,571.054000,452.710000,RIGHT,8.521928,8.389057,0.126667,0.124692,5,SEPARATING,7.707163,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
30,END,716,624.229000,467.386000,LEFT,7.932016,6.050375,0.116399,0.088787,5,NEUTRAL,0.131413,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
30,END,716,624.229000,467.386000,RIGHT,95.727824,68.290851,1.404767,1.002140,5,SEPARATING,5.019443,FAR,0,0,{LEFT},LEFT,0,far
31,START,686,572.608000,401.351000,LEFT,81.973873,81.973873,1.219486,1.219486,5,SEPARATING,12.254191,FAR,0,0,{RIGHT},RIGHT,0,far
31,START,686,572.608000,401.351000,RIGHT,30.340030,30.340030,0.451354,0.451354,5,SEPARATING,12.002163,POSSIBLE,1,0,{RIGHT},RIGHT,0,possible + separating
31,END,743,651.022000,434.980000,LEFT,4.880886,4.880886,0.070634,0.070634,5,APPROACHING,-1.669729,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
31,END,743,651.022000,434.980000,RIGHT,96.172432,93.959417,1.391766,1.359740,5,APPROACHING,-2.775858,FAR,0,0,{LEFT},LEFT,0,far
32,START,718,577.886000,353.553000,LEFT,119.515865,119.515865,1.733496,1.733496,5,SEPARATING,7.492541,FAR,0,0,{},,0,far
32,START,718,577.886000,353.553000,RIGHT,69.512091,69.512091,1.008225,1.008225,5,SEPARATING,14.994995,FAR,0,0,{},,0,far
32,END,853,582.223000,460.549000,LEFT,81.226361,81.226361,1.220476,1.220476,5,APPROACHING,-10.271635,FAR,0,0,{RIGHT},RIGHT,0,far
32,END,853,582.223000,460.549000,RIGHT,19.250802,19.250802,0.289255,0.289255,5,APPROACHING,-1.031358,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
33,START,725,617.038000,437.954000,LEFT,5.458267,5.458267,0.078554,0.078554,1,INSUFFICIENT,,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
33,START,725,617.038000,437.954000,RIGHT,86.241065,86.241065,1.241164,1.241164,1,INSUFFICIENT,,FAR,0,0,{LEFT},LEFT,0,far
33,END,725,617.038000,437.954000,LEFT,5.458267,5.458267,0.078554,0.078554,1,INSUFFICIENT,,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
33,END,725,617.038000,437.954000,RIGHT,86.241065,86.241065,1.241164,1.241164,1,INSUFFICIENT,,FAR,0,0,{LEFT},LEFT,0,far
34,START,732,605.445000,341.270000,LEFT,66.197776,66.197776,1.002693,1.002693,5,SEPARATING,12.684256,FAR,0,0,{},,0,far
34,START,732,605.445000,341.270000,RIGHT,136.078935,136.078935,2.061177,2.061177,5,SEPARATING,9.307594,FAR,0,0,{},,0,far
34,END,787,524.179000,456.621000,LEFT,120.828130,108.468117,1.867831,1.676763,5,SEPARATING,2.964296,FAR,0,0,{RIGHT},RIGHT,0,far
