frame,event_type,track_id,action,resolved_hand,matched_source_track_id,pending_before,pending_after
18,HAND_EXIT,3,UNMATCHED_NO_COMPATIBLE_SOURCE,,,,
20,HAND_ENTRY,2,PENDING_ENTRY,,,,T2:{RIGHT}
23,HAND_ENTRY,1,PENDING_ENTRY,,,T2:{RIGHT},T2:{RIGHT};T1:{LEFT}
25,HAND_EXIT,4,MATCHED_FIFO,RIGHT,2,T2:{RIGHT};T1:{LEFT},T1:{LEFT}
25,HAND_ENTRY,4,PENDING_ENTRY,,,T1:{LEFT},T1:{LEFT};T4:{RIGHT}
28,HAND_EXIT,5,MATCHED_FIFO,RIGHT,4,T1:{LEFT};T4:{RIGHT},T1:{LEFT}
33,HAND_ENTRY,5,PENDING_ENTRY,,,T1:{LEFT},T1:{LEFT};T5:{RIGHT}
37,HAND_EXIT,7,MATCHED_FIFO,RIGHT,5,T1:{LEFT};T5:{RIGHT},T1:{LEFT}
43,HAND_ENTRY,6,PENDING_ENTRY,,,T1:{LEFT},T1:{LEFT};T6:{LEFT}
48,HAND_ENTRY,3,PENDING_ENTRY,,,T1:{LEFT};T6:{LEFT},T1:{LEFT};T6:{LEFT};T3:{RIGHT}
59,HAND_EXIT,8,MATCHED_FIFO,LEFT,1,T1:{LEFT};T6:{LEFT};T3:{RIGHT},T6:{LEFT};T3:{RIGHT}
68,HAND_EXIT,9,MATCHED_FIFO,RIGHT,3,T6:{LEFT};T3:{RIGHT},T6:{LEFT}
69,HAND_ENTRY,7,PENDING_ENTRY,,,T6:{LEFT},T6:{LEFT};T7:{RIGHT}
84,HAND_EXIT,10,MATCHED_FIFO,LEFT,6,T6:{LEFT};T7:{RIGHT},T7:{RIGHT}
106,HAND_EXIT,12,MATCHED_FIFO,RIGHT,7,T7:{RIGHT},
113,HAND_EXIT,13,UNMATCHED_NO_COMPATIBLE_SOURCE,,,,
113,HAND_ENTRY,12,PENDING_ENTRY,,,,T12:{RIGHT}
115,HAND_ENTRY,10,PENDING_ENTRY,,,T12:{RIGHT},T12:{RIGHT};T10:{LEFT}
118,HAND_EXIT,14,MATCHED_FIFO,RIGHT,12,T12:{RIGHT};T10:{LEFT},T10:{LEFT}
126,HAND_ENTRY,14,PENDING_ENTRY,,,T10:{LEFT},T10:{LEFT};T14:{RIGHT}
130,HAND_EXIT,15,MATCHED_FIFO,RIGHT,14,T10:{LEFT};T14:{RIGHT},T10:{LEFT}
138,HAND_ENTRY,13,PENDING_ENTRY,,,T10:{LEFT},T10:{LEFT};T13:{RIGHT}
154,HAND_EXIT,17,MATCHED_FIFO,LEFT,10,T10:{LEFT};T13:{RIGHT},T13:{RIGHT}
156,HAND_EXIT,18,MATCHED_FIFO,RIGHT,13,T13:{RIGHT},
162,HAND_ENTRY,15,PENDING_ENTRY,,,,T15:{RIGHT}
172,HAND_EXIT,19,UNMATCHED_NO_COMPATIBLE_SOURCE,,,T15:{RIGHT},T15:{RIGHT}
172,HAND_ENTRY,19,PENDING_ENTRY,,,T15:{RIGHT},T15:{RIGHT};T19:{LEFT}
178,HAND_EXIT,20,MATCHED_FIFO,LEFT,19,T15:{RIGHT};T19:{LEFT},T15:{RIGHT}
184,HAND_ENTRY,18,PENDING_ENTRY,,,T15:{RIGHT},T15:{RIGHT};T18:{LEFT}
202,HAND_EXIT,22,MATCHED_FIFO,LEFT,18,T15:{RIGHT};T18:{LEFT},T15:{RIGHT}
207,HAND_ENTRY,20,PENDING_ENTRY,,,T15:{RIGHT},T15:{RIGHT};T20:{LEFT}
218,HAND_EXIT,23,MATCHED_FIFO,RIGHT,15,T15:{RIGHT};T20:{LEFT},T20:{LEFT}
218,HAND_ENTRY,23,PENDING_ENTRY,,,T20:{LEFT},T20:{LEFT};T23:{RIGHT}
207,FINALIZATION,20,UNRESOLVED_PENDING_ENTRY,,,T20:{LEFT};T23:{RIGHT},T20:{LEFT};T23:{RIGHT}
218,FINALIZATION,23,UNRESOLVED_PENDING_ENTRY,,,T20:{LEFT};T23:{RIGHT},T20:{LEFT};T23:{RIGHT}
