track_id,boundary_type,boundary_frame,event_type,eligible_hand_set,preferred_hand,ambiguous,hand_evidence,video_start_boundary,video_end_boundary,reason
3,START,18,HAND_EXIT,{LEFT},LEFT,0,1,0,0,NO_COMPATIBLE_PENDING_SOURCE
13,START,113,HAND_EXIT,{LEFT},LEFT,0,1,0,0,NO_COMPATIBLE_PENDING_SOURCE
19,START,172,HAND_EXIT,{LEFT},LEFT,0,1,0,0,NO_COMPATIBLE_PENDING_SOURCE
20,END,207,HAND_ENTRY,{LEFT},LEFT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
23,END,218,HAND_ENTRY,{RIGHT},RIGHT,0,1,0,0,UNRESOLVED_PENDING_ENTRY
