video,frame,time_seconds,class_id,class_name,confidence,x1,y1,x2,y2,center_x,center_y,width,height,frame_local_instance_index,mask_area_px,mask_centroid_x,mask_centroid_y,mask_centroid_valid,polygon_points
identical_balls_trick_000_018.mp4,5,0.083417,32,sports ball,0.244316,688.386,285.434,733.422,330.743,710.904,308.089,45.036,45.309,0,1742,710.844,308.420,1,"700,287;698,289;696,290;694,291;692,293;691,295;689,297;689,299;689,301;689,303;689,305;689,307;689,309;689,311;689,313;689,315;689,317;690,318;691,320;692,322;693,324;695,326;697,327;699,329;701,329;703,330;705,331;707,331;709,331;711,331;713,331;715,331;717,331;719,330;721,329;723,328;725,327;727,326;727,324;729,322;730,321;731,319;731,317;732,315;733,313;734,311;734,309;734,307;734,305;734,303;734,301;732,299;731,297;731,295;729,293;727,291;725,289;723,289;721,287;719,287;717,287;715,287;713,287;701,287"
identical_balls_trick_000_018.mp4,5,0.083417,32,sports ball,0.234933,530.189,413.749,574.136,459.761,552.162,436.755,43.947,46.012,1,1697,551.906,435.946,1,"543,414;541,416;539,417;537,418;535,419;533,421;533,423;532,425;531,427;531,429;531,431;531,433;531,435;531,437;531,439;531,441;531,443;531,445;531,447;532,449;533,451;535,453;537,454;539,456;541,457;543,457;545,458;547,458;549,458;551,458;553,458;555,458;557,458;559,458;561,457;563,456;565,455;567,453;569,451;571,449;571,447;572,445;574,443;574,441;574,439;574,437;574,435;574,433;574,431;574,429;572,427;571,425;570,423;570,421;568,419;566,417;564,416;563,414;561,414;559,414;557,414;555,414;553,414;544,414"
identical_balls_trick_000_018.mp4,7,0.116783,32,sports ball,0.367508,529.663,473.596,574.104,518.909,551.883,496.252,44.441,45.313,0,1680,551.844,495.432,1,"540,474;538,476;536,477;535,479;533,481;532,483;531,485;531,487;531,489;531,491;531,493;531,495;531,497;531,499;531,501;531,503;531,505;531,507;533,509;535,511;537,513;539,514;541,515;543,516;545,517;547,518;549,518;551,518;553,518;555,518;557,518;559,518;561,517;563,516;565,514;567,514;568,512;569,510;570,508;571,506;572,504;573,502;574,501;574,499;574,497;574,495;574,493;574,491;573,489;572,487;571,485;571,483;570,481;568,479;566,477;564,475;562,474;560,474;558,474;556,474;554,474;552,474;550,474;541,474"
identical_balls_trick_000_018.mp4,7,0.116783,32,sports ball,0.317770,743.693,448.301,785.559,489.958,764.626,469.130,41.866,41.656,1,1433,764.091,468.138,1,"753,449;751,451;751,453;749,454;747,455;745,457;744,459;744,461;744,463;744,465;744,467;744,469;744,471;744,473;744,475;744,477;744,479;744,481;744,483;746,485;748,487;750,487;752,488;753,489;755,489;757,489;759,489;760,488;758,487;756,486;756,484;757,482;759,481;761,481;763,481;765,482;767,482;769,483;771,485;773,486;775,486;777,486;779,486;781,486;783,485;783,483;784,481;786,479;786,477;786,475;785,473;784,471;782,469;782,467;783,465;784,463;784,461;784,459;784,457;783,455;781,454;779,453;777,451;754,449"
identical_balls_trick_000_018.mp4,7,0.116783,32,sports ball,0.244439,688.592,246.556,733.246,292.257,710.919,269.407,44.654,45.700,2,1710,710.299,270.022,1,"701,248;699,249;697,251;695,253;693,255;691,257;689,258;689,260;689,262;689,264;689,266;689,268;689,270;689,272;689,274;689,276;689,278;689,280;689,282;691,284;693,286;695,288;697,289;699,290;701,291;703,291;705,292;707,293;709,293;711,293;713,293;715,293;717,292;719,291;721,290;723,289;725,288;727,286;729,284;730,282;731,280;731,278;732,276;732,274;732,272;732,270;732,268;732,266;732,264;732,262;731,260;730,258;729,256;727,254;725,252;723,250;721,248;719,248;717,248;715,248;713,248;711,248;709,248;702,248"
identical_balls_trick_000_018.mp4,8,0.133467,32,sports ball,0.392281,529.906,506.535,571.916,551.815,550.911,529.175,42.010,45.279,0,1479,551.938,526.155,1,"541,506;539,507;537,509;536,511;534,513;532,515;531,517;531,519;531,521;531,523;531,525;531,527;531,529;531,531;531,533;531,535;531,537;531,539;533,540;535,540;537,540;539,539;541,537;543,536;545,535;547,535;548,537;548,539;548,541;548,543;548,545;548,547;549,549;551,550;553,550;555,550;557,550;559,550;561,549;563,547;565,545;567,544;569,542;570,540;571,538;571,536;571,534;571,532;571,530;571,528;571,526;571,524;571,522;571,520;571,518;571,516;570,514;568,512;566,510;564,508;563,507;561,506;559,506;542,506"
identical_balls_trick_000_018.mp4,9,0.150150,32,sports ball,0.487755,528.568,527.945,571.055,574.772,549.812,551.358,42.487,46.828,0,1428,549.473,547.370,1,"543,527;541,528;540,530;538,532;536,532;534,534;532,535;531,537;529,539;529,541;529,543;529,545;529,547;529,549;529,551;529,553;529,555;529,557;529,559;529,561;530,563;532,564;534,565;536,564;538,562;538,560;540,558;542,557;544,558;546,558;548,560;548,562;548,564;547,566;547,568;547,570;548,572;549,573;551,573;553,573;555,572;557,570;558,568;559,566;560,564;560,562;562,560;563,558;565,558;567,556;569,556;571,555;571,553;571,551;571,549;571,547;571,545;570,543;568,541;568,539;568,537;567,535;566,533;544,527"
identical_balls_trick_000_018.mp4,9,0.150150,32,sports ball,0.340732,688.410,215.831,733.014,261.568,710.712,238.699,44.604,45.736,1,1708,710.202,239.355,1,"701,217;700,219;698,220;696,221;694,223;692,225;690,227;689,229;689,231;689,233;689,235;689,237;689,239;689,241;689,243;689,245;689,247;689,249;689,251;691,253;693,255;695,257;697,258;699,260;701,261;703,261;705,262;707,262;709,262;711,262;713,262;715,262;717,261;719,261;721,260;723,258;725,257;727,256;728,254;729,252;730,250;731,248;732,246;732,244;732,242;732,240;732,238;732,236;732,234;732,232;731,230;730,228;729,226;727,224;725,222;723,220;721,218;719,217;717,217;715,217;713,217;711,217;709,217;702,217"
identical_balls_trick_000_018.mp4,9,0.150150,32,sports ball,0.268350,776.916,463.081,820.490,506.446,798.703,484.763,43.574,43.365,2,1388,798.381,481.603,1,"788,463;786,465;784,467;782,469;780,471;778,472;777,474;777,476;777,478;777,480;777,482;777,484;777,486;779,487;780,489;781,491;782,493;784,495;784,497;786,498;787,500;788,502;790,504;792,505;794,505;796,505;798,504;797,503;796,501;796,499;796,497;795,495;797,493;799,493;801,493;803,494;805,495;807,497;809,499;811,501;813,502;815,501;816,500;817,498;818,497;818,495;818,493;816,491;816,489;815,487;815,485;815,483;816,481;818,479;820,478;820,476;820,474;820,472;818,470;816,468;814,466;812,465;810,464;789,463"
identical_balls_trick_000_018.mp4,10,0.166833,32,sports ball,0.336982,687.568,203.482,732.964,248.285,710.266,225.883,45.397,44.803,0,1732,709.871,226.800,1,"699,205;697,207;695,209;693,211;691,213;689,215;688,217;688,219;688,221;688,223;688,225;688,227;688,229;688,231;688,233;688,235;688,237;690,239;691,241;693,243;695,245;697,246;699,248;701,249;703,249;705,249;707,249;709,249;711,249;713,249;715,249;717,249;719,248;721,247;723,246;725,244;727,244;727,242;729,240;730,238;731,236;731,234;732,232;732,230;732,228;732,226;732,224;732,222;732,220;732,218;731,216;730,214;729,213;727,211;725,209;723,207;721,206;719,205;717,205;715,205;713,205;711,205;709,205;700,205"
