source_track_id,target_track_id,source_end_frame,target_start_frame,gap_frames,hold_seconds,association_type,resolved_hand,hand_ambiguous,source_eligible_hand_set,target_eligible_hand_set,source_preferred_hand,target_preferred_hand,source_ambiguous,target_ambiguous,match_rule
3,4,7,27,19,0.33366666666700034,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
1,7,32,73,40,0.6840166666673507,HAND,LEFT,False,"{LEFT,RIGHT}",{LEFT},LEFT,LEFT,False,False,FIFO
2,8,24,82,57,0.967633333334301,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
5,9,67,97,29,0.5005000000005005,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
7,10,74,115,40,0.6840166666673507,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
10,12,136,159,22,0.3837166666670504,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
6,15,160,208,47,0.8008000000008009,HAND,RIGHT,False,"{LEFT,RIGHT}",{RIGHT},,RIGHT,True,False,FIFO_AMBIGUOUS_SOURCE_RESOLVED
13,16,203,223,19,0.33366666666700034,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
9,17,107,240,132,2.2188833333355524,HAND,LEFT,False,{LEFT},{LEFT},LEFT,LEFT,False,False,FIFO
15,19,263,287,23,0.40040000000040044,HAND,RIGHT,False,{RIGHT},{RIGHT},RIGHT,RIGHT,False,False,FIFO
