track_id,boundary_type,boundary_frame,boundary_x,boundary_y,hand,endpoint_distance_px,recent_min_distance_px,endpoint_distance_normalized,recent_min_distance_normalized,n_synchronized_samples,motion,signed_trend,proximity_band,hand_evidence,post_contact,eligible_hand_set,preferred_hand,ambiguous,evidence_reason
9,START,81,1036.896000,346.086000,LEFT,350.017618,350.017618,1.675110,1.675110,5,SEPARATING,1.716150,FAR,0,0,{RIGHT},RIGHT,0,far
9,START,81,1036.896000,346.086000,RIGHT,118.748419,114.710903,0.568305,0.548982,5,SEPARATING,2.191747,POSSIBLE,1,0,{RIGHT},RIGHT,0,possible + separating
9,END,119,1021.085000,951.107000,LEFT,425.352609,299.223879,1.858190,1.307185,5,SEPARATING,31.175597,FAR,0,0,{RIGHT},RIGHT,0,far
9,END,119,1021.085000,951.107000,RIGHT,79.047791,29.307168,0.345327,0.128031,5,SEPARATING,12.939038,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
10,START,82,901.301000,557.048000,LEFT,203.444381,203.444381,0.973292,0.973292,5,SEPARATING,37.580452,FAR,0,0,{},,0,far
10,START,82,901.301000,557.048000,RIGHT,278.442398,187.919331,1.332088,0.899019,5,APPROACHING,-23.509757,FAR,0,0,{},,0,far
10,END,118,1201.959000,568.691000,LEFT,21.087118,21.087118,0.091045,0.091045,5,APPROACHING,-45.825438,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
10,END,118,1201.959000,568.691000,RIGHT,369.279302,369.279302,1.594381,1.594381,5,APPROACHING,-21.060889,FAR,0,0,{LEFT},LEFT,0,far
11,START,94,1030.740000,788.791000,LEFT,32.137474,32.137474,0.138451,0.138451,5,SEPARATING,7.489111,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
11,START,94,1030.740000,788.791000,RIGHT,585.566576,546.358199,2.522678,2.353765,5,APPROACHING,-10.377510,FAR,0,0,{LEFT},LEFT,0,far
11,END,99,919.003000,736.889000,LEFT,75.374837,36.288566,0.331961,0.159820,5,SEPARATING,10.196584,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
11,END,99,919.003000,736.889000,RIGHT,514.223455,514.223455,2.264713,2.264713,5,APPROACHING,-18.647347,FAR,0,0,{LEFT},LEFT,0,far
12,START,102,913.385000,623.101000,LEFT,103.058331,103.058331,0.469315,0.469315,5,SEPARATING,39.593781,POSSIBLE,1,0,{LEFT},LEFT,0,possible + separating
12,START,102,913.385000,623.101000,RIGHT,358.581238,75.360816,1.632936,0.343184,5,APPROACHING,-74.024845,FAR,0,0,{LEFT},LEFT,0,far
12,END,140,806.254000,801.068000,LEFT,596.365282,452.446636,2.874216,2.180592,5,SEPARATING,37.322361,FAR,0,0,{RIGHT},RIGHT,0,far
12,END,140,806.254000,801.068000,RIGHT,35.669864,33.992550,0.171913,0.163829,5,APPROACHING,-6.169383,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
13,START,121,1185.821000,482.425000,LEFT,37.328485,37.328485,0.168857,0.168857,5,SEPARATING,10.130193,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
13,START,121,1185.821000,482.425000,RIGHT,421.718831,421.718831,1.907660,1.907660,5,SEPARATING,5.523628,FAR,0,0,{LEFT},LEFT,0,far
13,END,166,945.184000,912.334000,LEFT,75.336882,39.248480,0.317959,0.165648,5,APPROACHING,-9.782583,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
13,END,166,945.184000,912.334000,RIGHT,363.043756,164.261095,1.532225,0.693263,5,SEPARATING,50.635438,FAR,0,0,{LEFT},LEFT,0,far
14,START,122,1075.652000,900.297000,LEFT,421.447917,371.073881,1.924428,1.694409,5,APPROACHING,-12.405849,FAR,0,0,{RIGHT},RIGHT,0,far
14,START,122,1075.652000,900.297000,RIGHT,59.954472,59.954472,0.273766,0.273766,5,SEPARATING,7.015636,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
14,END,164,835.542000,594.950000,LEFT,279.637932,279.637932,1.198224,1.198224,5,APPROACHING,-20.648930,FAR,0,0,{RIGHT},RIGHT,0,far
14,END,164,835.542000,594.950000,RIGHT,74.228494,74.228494,0.318063,0.318063,5,APPROACHING,-35.908252,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
15,START,143,899.997000,817.313000,LEFT,608.229600,554.443859,3.055340,2.785156,5,APPROACHING,-13.112852,FAR,0,0,{RIGHT},RIGHT,0,far
15,START,143,899.997000,817.313000,RIGHT,40.341931,40.341931,0.202651,0.202651,5,SEPARATING,6.452728,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
15,END,148,1055.222000,728.865000,LEFT,519.007132,519.007132,2.574862,2.574862,5,APPROACHING,-22.479385,FAR,0,0,{RIGHT},RIGHT,0,far
15,END,148,1055.222000,728.865000,RIGHT,67.156156,42.450010,0.333170,0.210600,5,SEPARATING,6.444014,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
16,START,152,1072.441000,578.254000,LEFT,327.319759,49.949712,1.402951,0.214093,5,APPROACHING,-72.319344,FAR,0,0,{RIGHT},RIGHT,0,far
16,START,152,1072.441000,578.254000,RIGHT,145.419769,145.419769,0.623295,0.623295,5,SEPARATING,33.495023,POSSIBLE,1,0,{RIGHT},RIGHT,0,possible + separating
16,END,179,1211.090000,453.607000,LEFT,306.051560,306.051560,1.374574,1.374574,5,APPROACHING,-36.606884,FAR,0,0,{},,0,far
16,END,179,1211.090000,453.607000,RIGHT,333.496131,304.457303,1.497836,1.367413,5,SEPARATING,2.941311,FAR,0,0,{},,0,far
17,START,169,890.038000,901.007000,LEFT,65.567158,65.567158,0.286068,0.286068,5,SEPARATING,3.406910,VERY_NEAR,1,0,{LEFT},LEFT,0,very_near
17,START,169,890.038000,901.007000,RIGHT,399.897496,399.897496,1.744746,1.744746,5,SEPARATING,9.566458,FAR,0,0,{LEFT},LEFT,0,far
17,END,179,879.877000,546.147000,LEFT,214.463639,90.585069,0.963224,0.406846,5,SEPARATING,33.422105,FAR,0,0,{},,0,far
17,END,179,879.877000,546.147000,RIGHT,272.678393,272.678393,1.224684,1.224684,5,APPROACHING,-33.177587,FAR,0,0,{},,0,far
18,START,177,981.299000,329.069000,LEFT,378.701112,378.701112,1.700866,1.700866,3,SEPARATING,3.989433,FAR,0,0,{RIGHT},RIGHT,0,far
18,START,177,981.299000,329.069000,RIGHT,76.418073,76.418073,0.343218,0.343218,3,SEPARATING,19.268366,VERY_NEAR,1,0,{RIGHT},RIGHT,0,very_near
18,END,179,1037.065000,313.288000,LEFT,386.679978,378.701112,1.736701,1.700866,3,SEPARATING,3.989433,FAR,0,0,{RIGHT},RIGHT,0,far
18,END,179,1037.065000,313.288000,RIGHT,114.954806,76.418073,0.516298,0.343218,3,SEPARATING,19.268366,POSSIBLE,1,1,{RIGHT},RIGHT,0,possible + recent very_near (post_contact)
